recorte;cnpj;orgao_razao_social;unidade_codigo;unidade_nome;municipio_nome;esfera_classificada;n_contratacoes;n_itens;valor_total_estimado;valor_homologado_elegivel
AP_ESTADUAL_MUNICIPAL;23066814000124;MUNICIPIO DE FERREIRA GOMES;01;Prefeitura Municipal de Ferreira Gomes;Ferreira Gomes;municipal;3;14;303141.62;240746.8
AP_ESTADUAL_MUNICIPAL;34925222000137;MUNICIPIO DE PRACUUBA;000000001;SECRETARIA MUNICIPAL DE ADMINISTRACAO;Pracuúba;municipal;3;9;267474.0;180460.0
AP_ESTADUAL_MUNICIPAL;23066905000160;MUNICIPIO DE LARANJAL DO JARI;2210;MUNICIPIO DE LARANJAL DO JARI/AP;Laranjal do Jari;municipal;3;8;254866.9225;172039.0
AP_ESTADUAL_MUNICIPAL;11762155000181;SECRETARIA DE ESTADO DA CULTURA;40;SECRETARIA DE ESTADO DA CULTURA ;Macapá;estadual;1;1;49946.0;44200.0
AP_ESTADUAL_MUNICIPAL;23066640000108;MUNICIPIO DE SANTANA;980615;PREFEITURA MUNICIPAL DE SANTANA - AP;Santana;municipal;3;15;120524.86;40659.3
AP_ESTADUAL_MUNICIPAL;08186277000162;UNIVERSIDADE DO ESTADO DO AMAPA;3587;UNIVERSIDADE ESTADUAL DO AMAPÁ;Macapá;estadual;1;1;41184.0;30888.0
AP_ESTADUAL_MUNICIPAL;34869354000199;MINISTERIO PUBLICO DO ESTADO DO AMAPA;925037;MINISTéRIO PúBLICO DO ESTADO DO AMAPá;Macapá;estadual;2;8;55568.7;23086.6
AP_ESTADUAL_MUNICIPAL;34925214000190;MUNICIPIO DE ITAUBAL;000000001;PREFEITURA;Itaubal;municipal;1;1;22599.0;20919.0
AP_ESTADUAL_MUNICIPAL;00743471000190;INSTITUTO DE PREVIDENCIA DO MUNICIPIO DE SANTANA;932102;MAP-INSTITUTO PREV. DO MUNICIPIO DE SANTANA;Santana;municipal;1;1;12441.0;12433.3
AP_ESTADUAL_MUNICIPAL;05986427000124;MUNICIPIO DE MAZAGAO;2138;Mazagão;Mazagão;municipal;1;2;185985.0;11992.5
AP_ESTADUAL_MUNICIPAL;05194039000100;AGENCIA DE DEFESA E INSPECAO AGROPECUARIA DO ESTADO DO AMAPA - DIAGRO;73;AGÊNCIA DE DEFESA E INSPEÇÃO AGROPECUÁRIA;Amapá;estadual;1;1;13702.8;11986.8
AP_ESTADUAL_MUNICIPAL;02954346000154;CORPO DE BOMBEIROS MILITAR;94;CORPO DE BOMBEIROS MILITAR DO ESTADO DO AMAPÁ;Macapá;estadual;1;7;15027.68;11959.2
AP_ESTADUAL_MUNICIPAL;05990437000133;MUNICIPIO DE CALCOENE;932334;MAP-PREFEITURA MUNICIPAL DE CALÇOENE;Calçoene;municipal;2;7;16497.7;10193.4
AP_ESTADUAL_MUNICIPAL;11633713000109;DEPARTAMENTO ESTADUAL DE TRANSITO DO ESTADO DO AMAPA;63;DEPARTAMENTO ESTADUAL DE TRÂNSITO ;Amapá;estadual;1;3;13170.0;9861.0
AP_ESTADUAL_MUNICIPAL;01002322000132;PROCURADORIA GERAL DO ESTADO DO AMAPA;11;PROCURADORIA-GERAL DO ESTADO ;Amapá;estadual;1;2;7996.6;7770.0
AP_ESTADUAL_MUNICIPAL;34870246000136;TRIBUNAL DE CONTAS DO ESTADO DO AMAPA;927045;TRIBUNAL DE CONTAS DO ESTADO DO AMAPÁ;Macapá;estadual;3;4;7287.3;6510.0
AP_ESTADUAL_MUNICIPAL;34926188000115;INSTITUTO DE EXTENSAO, ASSISTENCIA E DESENVOLVIMENTO RURAL DO AMAPA;24;INSTITUTO DE  DESENVOLVIMENTO RURAL DO ESTADO DO AMAPÁ ;Amapá;estadual;1;1;8626.5;6471.0
AP_ESTADUAL_MUNICIPAL;11778652000178;SISTEMA INTEGRADO DE ATENDIMENTO AO CIDADAO;56;SISTEMA INTEGRADO DE ATENDIMENTO AO CIDADÃO;Amapá;estadual;1;2;0.0;5748.0
AP_ESTADUAL_MUNICIPAL;50956623000100;FUNDACAO DE SAUDE AMAPAENSE - FUNDESA;3273; FUNDESA - FUNDAÇÃO DE SAÚDE AMAPAENSE/AP;Macapá;estadual;1;2;6484.65;3658.29
AP_ESTADUAL_MUNICIPAL;34870576000121;TRIBUNAL DE JUSTICA DO ESTADO DO AMAPA;925306;TRIBUNAL DE JUSTIÇA DO ESTADO DO AMAPÁ;Macapá;estadual;2;2;4740.0;3086.0
AP_ESTADUAL_MUNICIPAL;11762179000130;SECRETARIA DE ESTADO DA INFRA-ESTRUTURA;462116;EAP-SECRETARIA DE ESTADO DA INFRAESTRUTURA;Macapá;estadual;1;3;2541.9;1791.95
AP_ESTADUAL_MUNICIPAL;30144641000180;FUNDO MUNICIPAL DE EDUCACAO - FME;1398;FUNDO MUNICIPAL DE EDUCAÇÃO DE VITÓRIA DO JARI/AP;Vitória do Jari;municipal;1;1;1506.6;1494.0
AP_ESTADUAL_MUNICIPAL;32665025000109;INSTITUTO MUNICIPAL DE TRANSITO E TRANSPORTE - IMTRANS;3014;INSTITUTO MUNICIPAL DE TRANSITO E TRANSPORTE - IMTRANS - AP;Oiapoque;municipal;1;1;1400.0;1300.0
AP_ESTADUAL_MUNICIPAL;25002757000145;FUNDO DE REEQUIPAMENTO DO CORPO DE BOMBEIROS MILITAR DO ESTADO DO AMAPA - FREBOM;3;FUNDO DE REEQUIPAMENTO DO CORPO DE BOMBEIROS;Macapá;estadual;1;1;2050.0;1215.0
AP_ESTADUAL_MUNICIPAL;22918796000107;AGENCIA DE DESENVOLVIMENTO ECONOMICO DO AMAPA;62;AGÊNCIA DE DESENVOLVIMENTO ECONÔMICO DO AMAPÁ;Macapá;estadual;2;4;1839.8000000000002;670.0
AP_ESTADUAL_MUNICIPAL;01249331000122;SECRETARIA DE ESTADO DO MEIO AMBIENTE;80;SECRETARIA DE ESTADO DO MEIO AMBIENTE;Macapá;estadual;1;1;750.0;570.0
