recorte;ni_fornecedor;nome_fornecedor;valor_total_homologado;n_itens_vencidos;n_contratacoes;participacao_pct
AP_ESTADUAL_MUNICIPAL;53425573000123;L. S. CUNHA LTDA;228704.0;7;1;26.518760970539528
AP_ESTADUAL_MUNICIPAL;24010212000118;F B MOREIRA LTDA;178710.0;7;1;20.72184033967539
AP_ESTADUAL_MUNICIPAL;28491434000150;DARKLE R ARAUJO;172039.0;6;3;19.948322366948766
AP_ESTADUAL_MUNICIPAL;37429124000105;F. G. DE SOUSA LTDA;44200.0;1;1;5.125092848825763
AP_ESTADUAL_MUNICIPAL;28171519000151;SPORT DANCE LTDA;38583.65;11;2;4.473863997660547
AP_ESTADUAL_MUNICIPAL;10505707000103;R.FIGUEIREDO DA COSTA;31488.0;2;2;3.651106869317322
AP_ESTADUAL_MUNICIPAL;41835803000143;CARVALHO COMERCIO & SERVICOS LTDA;23502.0;5;3;2.725111586721789
AP_ESTADUAL_MUNICIPAL;49212231000158;JS DISTRIBUIDORA HOSPITALAR LTDA;20919.0;1;1;2.4256067263481023
AP_ESTADUAL_MUNICIPAL;23085871000150;C.L.C. MAUES LTDA;14090.0;3;2;1.6337682859718328
AP_ESTADUAL_MUNICIPAL;36692856000112;J. V. CUMARU DOS SANTOS LTDA;12433.3;1;1;1.4416700660023836
AP_ESTADUAL_MUNICIPAL;28491434000150;DARKLE R ARAUJO - ME;12042.8;1;1;1.3963906823492962
AP_ESTADUAL_MUNICIPAL;16537246000137;RIO GRANDE EMPREENDIMENTOS LTDA;11992.5;1;1;1.3905582803064018
AP_ESTADUAL_MUNICIPAL;55879527000120;SOLUCOES DIRETAS COMERCIO E SERVIÇOS LTDA;11986.8;1;1;1.3898973520430917
AP_ESTADUAL_MUNICIPAL;47959767000106;ENGECOM COMERCIO E SERVIÇOS LTDA;11959.2;6;1;1.386697067820748
AP_ESTADUAL_MUNICIPAL;04437177000100;A. SALOMAO DE ALMEIDA;10878.55;8;2;1.261393185760034
AP_ESTADUAL_MUNICIPAL;60664535000199;I. SANTANA DIAS;5748.0;2;1;0.6664939750011422
AP_ESTADUAL_MUNICIPAL;28171519000151;B. DE C. FERREIRA LTDA;4875.65;3;1;0.5653429626329712
AP_ESTADUAL_MUNICIPAL;57526686000176;B. S. MACIEL LTDA;4313.0;3;1;0.5001023859046496
