numero_controle_pncp;numero_item;descricao;material_ou_servico;quantidade;unidade_original;unidade_normalizada;fator_conversao;evidencia_conversao;valor_unitario_estimado;valor_total_estimado;orcamento_sigiloso;situacao_compra_item_id;situacao_compra_item_nome;tem_resultado;ncm_nbs_codigo;catalogo_codigo_item;categoria_item_catalogo;data_inclusao;data_atualizacao;classificacao_status;classificacao_produto_id;classificacao_linha;classificacao_motivo;classificacao_regra_versao;resultados_status;raw_json;captured_at;cnpj;orgao_razao_social;esfera_classificada;esfera_id;unidade_codigo;unidade_nome;municipio_nome;uf_sigla;modalidade_id;modalidade_nome;srp;data_publicacao_pncp;data_abertura_proposta;data_encerramento_proposta;situacao_compra_id;situacao_compra_nome;especificacao_chave;quantidade_homologada_total;valor_homologado_elegivel;n_resultados_elegiveis;n_fornecedores_vencedores;homologado_acima_da_quantidade_flag;base_estimada_pareada;desagio_pct;desagio_negativo_flag;produto_id;linha;produto_nome;ncm_referencia
23066640000108-1-000002/2025;1;Apito;M;23.0;Unidade  ;unidade;1.0;unidade original ja comparavel (sem conversao);22.75;523.25;0;2;Homologado;1;;;;2025-01-07T07:13:25;2025-09-16T19:26:01;ACEITO;E12;esportivo;casou regra de identidade do produto E12;v2;ok;"{""numeroItem"": 1, ""descricao"": ""Apito"", ""materialOuServico"": ""M"", ""materialOuServicoNome"": ""Material"", ""valorUnitarioEstimado"": 22.75, ""valorTotal"": 523.25, ""quantidade"": 23.0, ""unidadeMedida"": ""Unidade  "", ""orcamentoSigiloso"": false, ""itemCategoriaId"": 3, ""itemCategoriaNome"": ""Não se aplica"", ""patrimonio"": null, ""codigoRegistroImobiliario"": null, ""criterioJulgamentoId"": 1, ""criterioJulgamentoNome"": ""Menor preço"", ""situacaoCompraItem"": 2, ""situacaoCompraItemNome"": ""Homologado"", ""tipoBeneficio"": 5, ""tipoBeneficioNome"": ""Não se aplica"", ""incentivoProdutivoBasico"": false, ""dataInclusao"": ""2025-01-07T07:13:25"", ""dataAtualizacao"": ""2025-09-16T19:26:01"", ""temResultado"": true, ""imagem"": 0, ""aplicabilidadeMargemPreferenciaNormal"": false, ""aplicabilidadeMargemPreferenciaAdicional"": false, ""percentualMargemPreferenciaNormal"": null, ""percentualMargemPreferenciaAdicional"": null, ""ncmNbsCodigo"": null, ""ncmNbsDescricao"": null, ""catalogo"": null, ""categoriaItemCatalogo"": null, ""catalogoCodigoItem"": null, ""informacaoComplementar"": null, ""tipoMargemPreferencia"": null, ""exigenciaConteudoNacional"": false}";2026-09-12T19:08:40.895761;23066640000108;MUNICIPIO DE SANTANA;municipal;M;980615;PREFEITURA MUNICIPAL DE SANTANA - AP;Santana;AP;6;Pregão - Eletrônico;0;2025-01-07T07:13:25;2025-01-07T08:00:00;2025-02-13T09:00:00;1;Divulgada no PNCP;generico;23.0;523.25;1.0;1.0;False;523.25;0.0;False;E12;esportivo;Apito de arbitro;9208.90.00
23066640000108-1-000002/2025;2;Bola Futebol;M;323.0;Unidade  ;unidade;1.0;unidade original ja comparavel (sem conversao);170.51;55074.73;0;2;Homologado;1;;;;2025-01-07T07:13:25;2025-07-22T19:15:31;ACEITO;E01;esportivo;casou regra de identidade do produto E01;v2;nao_consultado;"{""numeroItem"": 2, ""descricao"": ""Bola Futebol"", ""materialOuServico"": ""M"", ""materialOuServicoNome"": ""Material"", ""valorUnitarioEstimado"": 170.51, ""valorTotal"": 55074.73, ""quantidade"": 323.0, ""unidadeMedida"": ""Unidade  "", ""orcamentoSigiloso"": false, ""itemCategoriaId"": 3, ""itemCategoriaNome"": ""Não se aplica"", ""patrimonio"": null, ""codigoRegistroImobiliario"": null, ""criterioJulgamentoId"": 1, ""criterioJulgamentoNome"": ""Menor preço"", ""situacaoCompraItem"": 2, ""situacaoCompraItemNome"": ""Homologado"", ""tipoBeneficio"": 5, ""tipoBeneficioNome"": ""Não se aplica"", ""incentivoProdutivoBasico"": false, ""dataInclusao"": ""2025-01-07T07:13:25"", ""dataAtualizacao"": ""2025-07-22T19:15:31"", ""temResultado"": true, ""imagem"": 0, ""aplicabilidadeMargemPreferenciaNormal"": false, ""aplicabilidadeMargemPreferenciaAdicional"": false, ""percentualMargemPreferenciaNormal"": null, ""percentualMargemPreferenciaAdicional"": null, ""ncmNbsCodigo"": null, ""ncmNbsDescricao"": null, ""catalogo"": null, ""categoriaItemCatalogo"": null, ""catalogoCodigoItem"": null, ""informacaoComplementar"": null, ""tipoMargemPreferencia"": null, ""exigenciaConteudoNacional"": false}";2026-09-12T19:08:40.895761;23066640000108;MUNICIPIO DE SANTANA;municipal;M;980615;PREFEITURA MUNICIPAL DE SANTANA - AP;Santana;AP;6;Pregão - Eletrônico;0;2025-01-07T07:13:25;2025-01-07T08:00:00;2025-02-13T09:00:00;1;Divulgada no PNCP;generico;0.0;0.0;;;False;;;False;E01;esportivo;Bola de futebol de campo;9506.62.00
23066640000108-1-000002/2025;3;Bola Voleibol;M;30.0;Unidade  ;unidade;1.0;unidade original ja comparavel (sem conversao);120.33;3609.9;0;2;Homologado;1;;;;2025-01-07T07:13:25;2025-09-16T19:26:02;ACEITO;E03;esportivo;casou regra de identidade do produto E03;v2;ok;"{""numeroItem"": 3, ""descricao"": ""Bola Voleibol"", ""materialOuServico"": ""M"", ""materialOuServicoNome"": ""Material"", ""valorUnitarioEstimado"": 120.33, ""valorTotal"": 3609.9, ""quantidade"": 30.0, ""unidadeMedida"": ""Unidade  "", ""orcamentoSigiloso"": false, ""itemCategoriaId"": 3, ""itemCategoriaNome"": ""Não se aplica"", ""patrimonio"": null, ""codigoRegistroImobiliario"": null, ""criterioJulgamentoId"": 1, ""criterioJulgamentoNome"": ""Menor preço"", ""situacaoCompraItem"": 2, ""situacaoCompraItemNome"": ""Homologado"", ""tipoBeneficio"": 5, ""tipoBeneficioNome"": ""Não se aplica"", ""incentivoProdutivoBasico"": false, ""dataInclusao"": ""2025-01-07T07:13:25"", ""dataAtualizacao"": ""2025-09-16T19:26:02"", ""temResultado"": true, ""imagem"": 0, ""aplicabilidadeMargemPreferenciaNormal"": false, ""aplicabilidadeMargemPreferenciaAdicional"": false, ""percentualMargemPreferenciaNormal"": null, ""percentualMargemPreferenciaAdicional"": null, ""ncmNbsCodigo"": null, ""ncmNbsDescricao"": null, ""catalogo"": null, ""categoriaItemCatalogo"": null, ""catalogoCodigoItem"": null, ""informacaoComplementar"": null, ""tipoMargemPreferencia"": null, ""exigenciaConteudoNacional"": false}";2026-09-12T19:08:40.895761;23066640000108;MUNICIPIO DE SANTANA;municipal;M;980615;PREFEITURA MUNICIPAL DE SANTANA - AP;Santana;AP;6;Pregão - Eletrônico;0;2025-01-07T07:13:25;2025-01-07T08:00:00;2025-02-13T09:00:00;1;Divulgada no PNCP;generico;30.0;3609.9;1.0;1.0;False;3609.9;0.0;False;E03;esportivo;Bola de volei;9506.62.00
23066640000108-1-000002/2025;4;Bola Basquetebol;M;15.0;Unidade  ;unidade;1.0;unidade original ja comparavel (sem conversao);172.0;2580.0;0;2;Homologado;1;;;;2025-01-07T07:13:25;2025-07-22T19:17:09;ACEITO;E04;esportivo;casou regra de identidade do produto E04;v2;ok;"{""numeroItem"": 4, ""descricao"": ""Bola Basquetebol"", ""materialOuServico"": ""M"", ""materialOuServicoNome"": ""Material"", ""valorUnitarioEstimado"": 172.0, ""valorTotal"": 2580.0, ""quantidade"": 15.0, ""unidadeMedida"": ""Unidade  "", ""orcamentoSigiloso"": false, ""itemCategoriaId"": 3, ""itemCategoriaNome"": ""Não se aplica"", ""patrimonio"": null, ""codigoRegistroImobiliario"": null, ""criterioJulgamentoId"": 1, ""criterioJulgamentoNome"": ""Menor preço"", ""situacaoCompraItem"": 2, ""situacaoCompraItemNome"": ""Homologado"", ""tipoBeneficio"": 5, ""tipoBeneficioNome"": ""Não se aplica"", ""incentivoProdutivoBasico"": false, ""dataInclusao"": ""2025-01-07T07:13:25"", ""dataAtualizacao"": ""2025-07-22T19:17:09"", ""temResultado"": true, ""imagem"": 0, ""aplicabilidadeMargemPreferenciaNormal"": false, ""aplicabilidadeMargemPreferenciaAdicional"": false, ""percentualMargemPreferenciaNormal"": null, ""percentualMargemPreferenciaAdicional"": null, ""ncmNbsCodigo"": null, ""ncmNbsDescricao"": null, ""catalogo"": null, ""categoriaItemCatalogo"": null, ""catalogoCodigoItem"": null, ""informacaoComplementar"": null, ""tipoMargemPreferencia"": null, ""exigenciaConteudoNacional"": false}";2026-09-12T19:08:40.895761;23066640000108;MUNICIPIO DE SANTANA;municipal;M;980615;PREFEITURA MUNICIPAL DE SANTANA - AP;Santana;AP;6;Pregão - Eletrônico;0;2025-01-07T07:13:25;2025-01-07T08:00:00;2025-02-13T09:00:00;1;Divulgada no PNCP;generico;15.0;742.5;1.0;1.0;False;2580.0;71.22093023255813;False;E04;esportivo;Bola de basquete;9506.62.00
34869354000199-1-000208/2024;2;Apagador quadro branco;M;100.0;Unidade;unidade;1.0;unidade original ja comparavel (sem conversao);23.19;2319.0;0;2;Homologado;1;;;;2025-01-08T07:09:16;2025-02-05T16:42:24;ACEITO;P19;educativo;casou regra de identidade do produto P19;v2;ok;"{""numeroItem"": 2, ""descricao"": ""Apagador quadro branco"", ""materialOuServico"": ""M"", ""materialOuServicoNome"": ""Material"", ""valorUnitarioEstimado"": 23.19, ""valorTotal"": 2319.0, ""quantidade"": 100.0, ""unidadeMedida"": ""Unidade"", ""orcamentoSigiloso"": false, ""itemCategoriaId"": 3, ""itemCategoriaNome"": ""Não se aplica"", ""patrimonio"": null, ""codigoRegistroImobiliario"": null, ""criterioJulgamentoId"": 1, ""criterioJulgamentoNome"": ""Menor preço"", ""situacaoCompraItem"": 2, ""situacaoCompraItemNome"": ""Homologado"", ""tipoBeneficio"": 1, ""tipoBeneficioNome"": ""Participação exclusiva para ME/EPP"", ""incentivoProdutivoBasico"": false, ""dataInclusao"": ""2025-01-08T07:09:16"", ""dataAtualizacao"": ""2025-02-05T16:42:24"", ""temResultado"": true, ""imagem"": 0, ""aplicabilidadeMargemPreferenciaNormal"": false, ""aplicabilidadeMargemPreferenciaAdicional"": false, ""percentualMargemPreferenciaNormal"": null, ""percentualMargemPreferenciaAdicional"": null, ""ncmNbsCodigo"": null, ""ncmNbsDescricao"": null, ""catalogo"": null, ""categoriaItemCatalogo"": null, ""catalogoCodigoItem"": null, ""informacaoComplementar"": null, ""tipoMargemPreferencia"": null, ""exigenciaConteudoNacional"": false}";2026-09-12T19:08:44.702689;34869354000199;MINISTERIO PUBLICO DO ESTADO DO AMAPA;estadual;E;925037;MINISTéRIO PúBLICO DO ESTADO DO AMAPá;Macapá;AP;6;Pregão - Eletrônico;1;2025-01-08T07:09:16;2025-01-08T08:00:00;2025-01-20T10:00:00;1;Divulgada no PNCP;generico;100.0;533.0;1.0;1.0;False;2319.0;77.01595515308323;False;P19;educativo;Apagador para quadro/lousa;9603.90.00
34869354000199-1-000208/2024;3;Apontador lápis;M;500.0;Unidade;unidade;1.0;unidade original ja comparavel (sem conversao);5.37;2685.0;0;2;Homologado;1;;;;2025-01-08T07:09:16;2025-09-16T23:48:28;ACEITO;P08;educativo;casou regra de identidade do produto P08;v2;nao_consultado;"{""numeroItem"": 3, ""descricao"": ""Apontador lápis"", ""materialOuServico"": ""M"", ""materialOuServicoNome"": ""Material"", ""valorUnitarioEstimado"": 5.37, ""valorTotal"": 2685.0, ""quantidade"": 500.0, ""unidadeMedida"": ""Unidade"", ""orcamentoSigiloso"": false, ""itemCategoriaId"": 3, ""itemCategoriaNome"": ""Não se aplica"", ""patrimonio"": null, ""codigoRegistroImobiliario"": null, ""criterioJulgamentoId"": 1, ""criterioJulgamentoNome"": ""Menor preço"", ""situacaoCompraItem"": 2, ""situacaoCompraItemNome"": ""Homologado"", ""tipoBeneficio"": 1, ""tipoBeneficioNome"": ""Participação exclusiva para ME/EPP"", ""incentivoProdutivoBasico"": false, ""dataInclusao"": ""2025-01-08T07:09:16"", ""dataAtualizacao"": ""2025-09-16T23:48:28"", ""temResultado"": true, ""imagem"": 0, ""aplicabilidadeMargemPreferenciaNormal"": false, ""aplicabilidadeMargemPreferenciaAdicional"": false, ""percentualMargemPreferenciaNormal"": null, ""percentualMargemPreferenciaAdicional"": null, ""ncmNbsCodigo"": null, ""ncmNbsDescricao"": null, ""catalogo"": null, ""categoriaItemCatalogo"": null, ""catalogoCodigoItem"": null, ""informacaoComplementar"": null, ""tipoMargemPreferencia"": null, ""exigenciaConteudoNacional"": false}";2026-09-12T19:08:44.702689;34869354000199;MINISTERIO PUBLICO DO ESTADO DO AMAPA;estadual;E;925037;MINISTéRIO PúBLICO DO ESTADO DO AMAPá;Macapá;AP;6;Pregão - Eletrônico;1;2025-01-08T07:09:16;2025-01-08T08:00:00;2025-01-20T10:00:00;1;Divulgada no PNCP;generico;0.0;0.0;;;False;;;False;P08;educativo;Apontador de lapis;8214.10.00
34869354000199-1-000208/2024;4;Lápis Preto;M;70.0;Caixa 12,00 UN;Caixa 12,00 UN;;"unidade nao reconhecida no dicionario; preservada como original";30.71;2149.7;0;2;Homologado;1;;;;2025-01-08T07:09:16;2025-09-16T23:48:29;ACEITO;P05;educativo;casou regra de identidade do produto P05;v2;ok;"{""numeroItem"": 4, ""descricao"": ""Lápis Preto"", ""materialOuServico"": ""M"", ""materialOuServicoNome"": ""Material"", ""valorUnitarioEstimado"": 30.71, ""valorTotal"": 2149.7, ""quantidade"": 70.0, ""unidadeMedida"": ""Caixa 12,00 UN"", ""orcamentoSigiloso"": false, ""itemCategoriaId"": 3, ""itemCategoriaNome"": ""Não se aplica"", ""patrimonio"": null, ""codigoRegistroImobiliario"": null, ""criterioJulgamentoId"": 1, ""criterioJulgamentoNome"": ""Menor preço"", ""situacaoCompraItem"": 2, ""situacaoCompraItemNome"": ""Homologado"", ""tipoBeneficio"": 1, ""tipoBeneficioNome"": ""Participação exclusiva para ME/EPP"", ""incentivoProdutivoBasico"": false, ""dataInclusao"": ""2025-01-08T07:09:16"", ""dataAtualizacao"": ""2025-09-16T23:48:29"", ""temResultado"": true, ""imagem"": 0, ""aplicabilidadeMargemPreferenciaNormal"": false, ""aplicabilidadeMargemPreferenciaAdicional"": false, ""percentualMargemPreferenciaNormal"": null, ""percentualMargemPreferenciaAdicional"": null, ""ncmNbsCodigo"": null, ""ncmNbsDescricao"": null, ""catalogo"": null, ""categoriaItemCatalogo"": null, ""catalogoCodigoItem"": null, ""informacaoComplementar"": null, ""tipoMargemPreferencia"": null, ""exigenciaConteudoNacional"": false}";2026-09-12T19:08:44.704195;34869354000199;MINISTERIO PUBLICO DO ESTADO DO AMAPA;estadual;E;925037;MINISTéRIO PúBLICO DO ESTADO DO AMAPá;Macapá;AP;6;Pregão - Eletrônico;1;2025-01-08T07:09:16;2025-01-08T08:00:00;2025-01-20T10:00:00;1;Divulgada no PNCP;generico;70.0;453.6;1.0;1.0;False;2149.7000000000003;78.89938130901987;False;P05;educativo;Lapis grafite numero 2/HB;9609.10.00
34869354000199-1-000208/2024;6;Caneta Esferográfica;M;250.0;Caixa 12,00 UN;Caixa 12,00 UN;;"unidade nao reconhecida no dicionario; preservada como original";50.03;12507.5;0;2;Homologado;1;;;;2025-01-08T07:09:16;2025-09-16T23:48:29;ACEITO;P06;educativo;casou regra de identidade do produto P06;v2;ok;"{""numeroItem"": 6, ""descricao"": ""Caneta Esferográfica"", ""materialOuServico"": ""M"", ""materialOuServicoNome"": ""Material"", ""valorUnitarioEstimado"": 50.03, ""valorTotal"": 12507.5, ""quantidade"": 250.0, ""unidadeMedida"": ""Caixa 12,00 UN"", ""orcamentoSigiloso"": false, ""itemCategoriaId"": 3, ""itemCategoriaNome"": ""Não se aplica"", ""patrimonio"": null, ""codigoRegistroImobiliario"": null, ""criterioJulgamentoId"": 1, ""criterioJulgamentoNome"": ""Menor preço"", ""situacaoCompraItem"": 2, ""situacaoCompraItemNome"": ""Homologado"", ""tipoBeneficio"": 1, ""tipoBeneficioNome"": ""Participação exclusiva para ME/EPP"", ""incentivoProdutivoBasico"": false, ""dataInclusao"": ""2025-01-08T07:09:16"", ""dataAtualizacao"": ""2025-09-16T23:48:29"", ""temResultado"": true, ""imagem"": 0, ""aplicabilidadeMargemPreferenciaNormal"": false, ""aplicabilidadeMargemPreferenciaAdicional"": false, ""percentualMargemPreferenciaNormal"": null, ""percentualMargemPreferenciaAdicional"": null, ""ncmNbsCodigo"": null, ""ncmNbsDescricao"": null, ""catalogo"": null, ""categoriaItemCatalogo"": null, ""catalogoCodigoItem"": null, ""informacaoComplementar"": null, ""tipoMargemPreferencia"": null, ""exigenciaConteudoNacional"": false}";2026-09-12T19:08:44.704195;34869354000199;MINISTERIO PUBLICO DO ESTADO DO AMAPA;estadual;E;925037;MINISTéRIO PúBLICO DO ESTADO DO AMAPá;Macapá;AP;6;Pregão - Eletrônico;1;2025-01-08T07:09:16;2025-01-08T08:00:00;2025-01-20T10:00:00;1;Divulgada no PNCP;generico;250.0;4050.0;1.0;1.0;False;12507.5;67.6194283429942;False;P06;educativo;Caneta esferografica azul/preta/vermelha;9608.10.00
34869354000199-1-000208/2024;7;Caneta Esferográfica;M;150.0;Caixa 12,00 UN;Caixa 12,00 UN;;"unidade nao reconhecida no dicionario; preservada como original";50.03;7504.5;0;2;Homologado;1;;;;2025-01-08T07:09:16;2025-02-05T16:42:22;ACEITO;P06;educativo;casou regra de identidade do produto P06;v2;ok;"{""numeroItem"": 7, ""descricao"": ""Caneta Esferográfica"", ""materialOuServico"": ""M"", ""materialOuServicoNome"": ""Material"", ""valorUnitarioEstimado"": 50.03, ""valorTotal"": 7504.5, ""quantidade"": 150.0, ""unidadeMedida"": ""Caixa 12,00 UN"", ""orcamentoSigiloso"": false, ""itemCategoriaId"": 3, ""itemCategoriaNome"": ""Não se aplica"", ""patrimonio"": null, ""codigoRegistroImobiliario"": null, ""criterioJulgamentoId"": 1, ""criterioJulgamentoNome"": ""Menor preço"", ""situacaoCompraItem"": 2, ""situacaoCompraItemNome"": ""Homologado"", ""tipoBeneficio"": 1, ""tipoBeneficioNome"": ""Participação exclusiva para ME/EPP"", ""incentivoProdutivoBasico"": false, ""dataInclusao"": ""2025-01-08T07:09:16"", ""dataAtualizacao"": ""2025-02-05T16:42:22"", ""temResultado"": true, ""imagem"": 0, ""aplicabilidadeMargemPreferenciaNormal"": false, ""aplicabilidadeMargemPreferenciaAdicional"": false, ""percentualMargemPreferenciaNormal"": null, ""percentualMargemPreferenciaAdicional"": null, ""ncmNbsCodigo"": null, ""ncmNbsDescricao"": null, ""catalogo"": null, ""categoriaItemCatalogo"": null, ""catalogoCodigoItem"": null, ""informacaoComplementar"": null, ""tipoMargemPreferencia"": null, ""exigenciaConteudoNacional"": false}";2026-09-12T19:08:44.704195;34869354000199;MINISTERIO PUBLICO DO ESTADO DO AMAPA;estadual;E;925037;MINISTéRIO PúBLICO DO ESTADO DO AMAPá;Macapá;AP;6;Pregão - Eletrônico;1;2025-01-08T07:09:16;2025-01-08T08:00:00;2025-01-20T10:00:00;1;Divulgada no PNCP;generico;150.0;2430.0;1.0;1.0;False;7504.5;67.6194283429942;False;P06;educativo;Caneta esferografica azul/preta/vermelha;9608.10.00
34869354000199-1-000208/2024;8;Caneta Esferográfica;M;100.0;Caixa 12,00 UN;Caixa 12,00 UN;;"unidade nao reconhecida no dicionario; preservada como original";50.03;5003.0;0;2;Homologado;1;;;;2025-01-08T07:09:16;2025-09-16T23:48:29;ACEITO;P06;educativo;casou regra de identidade do produto P06;v2;ok;"{""numeroItem"": 8, ""descricao"": ""Caneta Esferográfica"", ""materialOuServico"": ""M"", ""materialOuServicoNome"": ""Material"", ""valorUnitarioEstimado"": 50.03, ""valorTotal"": 5003.0, ""quantidade"": 100.0, ""unidadeMedida"": ""Caixa 12,00 UN"", ""orcamentoSigiloso"": false, ""itemCategoriaId"": 3, ""itemCategoriaNome"": ""Não se aplica"", ""patrimonio"": null, ""codigoRegistroImobiliario"": null, ""criterioJulgamentoId"": 1, ""criterioJulgamentoNome"": ""Menor preço"", ""situacaoCompraItem"": 2, ""situacaoCompraItemNome"": ""Homologado"", ""tipoBeneficio"": 1, ""tipoBeneficioNome"": ""Participação exclusiva para ME/EPP"", ""incentivoProdutivoBasico"": false, ""dataInclusao"": ""2025-01-08T07:09:16"", ""dataAtualizacao"": ""2025-09-16T23:48:29"", ""temResultado"": true, ""imagem"": 0, ""aplicabilidadeMargemPreferenciaNormal"": false, ""aplicabilidadeMargemPreferenciaAdicional"": false, ""percentualMargemPreferenciaNormal"": null, ""percentualMargemPreferenciaAdicional"": null, ""ncmNbsCodigo"": null, ""ncmNbsDescricao"": null, ""catalogo"": null, ""categoriaItemCatalogo"": null, ""catalogoCodigoItem"": null, ""informacaoComplementar"": null, ""tipoMargemPreferencia"": null, ""exigenciaConteudoNacional"": false}";2026-09-12T19:08:44.704195;34869354000199;MINISTERIO PUBLICO DO ESTADO DO AMAPA;estadual;E;925037;MINISTéRIO PúBLICO DO ESTADO DO AMAPá;Macapá;AP;6;Pregão - Eletrônico;1;2025-01-08T07:09:16;2025-01-08T08:00:00;2025-01-20T10:00:00;1;Divulgada no PNCP;generico;100.0;1620.0;1.0;1.0;False;5003.0;67.6194283429942;False;P06;educativo;Caneta esferografica azul/preta/vermelha;9608.10.00
