produto_id;unidade_normalizada;fator_conversao;especificacao_chave;tipo_preco;minimo;media;mediana;maximo;n_observacoes;n_contratacoes;aviso
E01;unidade;1.0;campo;estimado;237.61;237.61;237.61;237.61;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E01;unidade;1.0;generico;estimado;80.16;140.00444444444443;158.91;188.59;9;5;
E02;1 Un.;;futsal|440g;estimado;164.7;164.7;164.7;164.7;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E02;1 Un.;;infantil|futsal|380g;estimado;138.5;138.5;138.5;138.5;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E02;unidade;1.0;futsal;estimado;127.54;166.76333333333335;155.8;216.95;3;3;
E03;1 Un.;;280g;estimado;125.95;252.725;252.725;379.5;2;2;"unidade nao comparavel sem fator de conversao confirmado; nao somar/comparar com outras"
E03;und 1 Un.;;280g;estimado;660.19;660.19;660.19;660.19;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E03;unidade;1.0;280g;estimado;560.0;560.0;560.0;560.0;2;2;
E03;unidade;1.0;generico;estimado;120.33;154.7942857142857;145.99;199.0;7;4;
E03;unidade;1.0;praia;estimado;411.4;411.4;411.4;411.4;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E03;unidade;1.0;praia|280g;estimado;297.45;297.45;297.45;297.45;2;2;
E03;unidade;1.0;quadra;estimado;900.0;900.0;900.0;900.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E04;1 Un.;;generico;estimado;399.5;399.5;399.5;399.5;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E04;1 Un.;;tam7;estimado;267.3;267.3;267.3;267.3;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E04;unidade;1.0;650g;estimado;331.71;331.71;331.71;331.71;2;2;
E04;unidade;1.0;generico;estimado;172.0;238.12857142857143;193.19;514.6;7;6;
E05;unidade;1.0;generico;estimado;140.05;169.6502;147.41;214.15;5;3;
E06;par;1.0;campo;estimado;592.58;592.58;592.58;592.58;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E07;jogo;;generico;estimado;132.57;132.57;132.57;132.57;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E07;unidade;1.0;generico;estimado;359.72;420.275;420.275;480.83;2;2;
E09;Ind 1 un;;generico;estimado;25.0;25.0;25.0;25.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E10;Ind 1 un;;generico;estimado;20.5;75.61333333333333;92.15;114.19;3;3;"unidade nao comparavel sem fator de conversao confirmado; nao somar/comparar com outras"
E10;Kit 10 Un;;generico;estimado;6.0;17.9975;9.495000000000001;47.0;4;4;"unidade nao comparavel sem fator de conversao confirmado; nao somar/comparar com outras"
E10;unidade;1.0;generico;estimado;10.76;87.72333333333334;75.925;179.0;6;4;
E12;Ind 1 un;;generico;estimado;6.78;6.78;6.78;6.78;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E12;UNID;;generico;estimado;70.0;70.0;70.0;70.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E12;unidade;1.0;generico;estimado;17.1;27.795;26.7;37.5;8;6;
E13;Ind - 1 - un;;generico;estimado;64.37;64.37;64.37;64.37;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E13;unidade;1.0;generico;estimado;40.54;131.185;74.3;335.6;4;4;
E14;1 Un.;;generico;estimado;20.03;20.03;20.03;20.03;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E14;unidade;1.0;generico;estimado;32.05;44.68333333333334;51.0;51.0;3;3;
E15;Ind - 1 - unidade;;esp3cm;estimado;410.0;410.0;410.0;410.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E15;unidade;1.0;generico;estimado;0.0;104.5525;56.605000000000004;305.0;4;4;
E15;unidade;1.0;infantil|esp05cm;estimado;150.66;150.66;150.66;150.66;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E16;Ind 1 un;;esp10mm;estimado;19.9;19.9;19.9;19.9;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E17;unidade;1.0;generico;estimado;128.36;250.18;250.18;372.0;2;2;
E20;unidade;1.0;generico;estimado;1480.26;1480.26;1480.26;1480.26;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E22;Ind 1 un;;generico;estimado;77.22;77.22;77.22;77.22;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E22;adesivo;;generico;estimado;309.5;309.5;309.5;309.5;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
E22;unidade;1.0;generico;estimado;0.0;865.9639999999999;665.33;2632.64;5;4;
E23;unidade;1.0;generico;estimado;0.0;13.040000000000001;9.655000000000001;36.25;6;4;
E24;unidade;1.0;generico;estimado;9.26;19.006666666666664;16.22;31.54;3;3;
P01;1 Un.;;generico;estimado;257.4;257.4;257.4;257.4;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P01;Cx 10 Resmas;;75g;estimado;245.0;245.0;245.0;245.0;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P01;Ind 1 Resma;;75g;estimado;19.21;19.21;19.21;19.21;1;1;atencao: baseado em 1 unico certame, nao usar como referencia robusta
P02;unidade;1.0;generico;estimado;18.79;25.5083;25.5083;32.2266;2;2;
