recorte;classificacao_produto_id;produto_nome;linha;n_itens;n_contratacoes;valor_total_estimado;valor_homologado_elegivel;n_resultados;participacao_pct;participacao_acumulada_pct;curva_abc
AP_ESTADUAL_MUNICIPAL;E03;Bola de volei;esportivo;10;7;394535.7;268731.9;7.0;31.160089116320368;31.160089116320368;A
AP_ESTADUAL_MUNICIPAL;E04;Bola de basquete;esportivo;7;6;160954.0;125252.5;5.0;14.523318824605177;45.68340794092555;A
AP_ESTADUAL_MUNICIPAL;P02;Caderno universitario, capa dura, 10+ materias;educativo;2;2;238520.14;116600.0;1.0;13.520041316133122;59.20344925705867;A
AP_ESTADUAL_MUNICIPAL;P06;Caneta esferografica azul/preta/vermelha;educativo;36;22;167386.19;99252.6;29.0;11.508569920528595;70.71201917758727;A
AP_ESTADUAL_MUNICIPAL;P01;Papel sulfite A4, resma de 500 folhas;educativo;3;3;98480.0;82258.0;3.0;9.538006505853158;80.25002568344043;B
AP_ESTADUAL_MUNICIPAL;P19;Apagador para quadro/lousa;educativo;8;8;62960.682499999995;41447.3;6.0;4.805910878577739;85.05593656201816;B
AP_ESTADUAL_MUNICIPAL;E15;Colchonete de ginastica;esportivo;4;4;52191.4;25276.4;3.0;2.9308573955669575;87.98679395758512;B
AP_ESTADUAL_MUNICIPAL;E10;Cone esportivo de sinalizacao;esportivo;8;8;107851.45;18918.0;4.0;2.193586120228185;90.18038007781331;B
AP_ESTADUAL_MUNICIPAL;E01;Bola de futebol de campo;esportivo;6;3;87300.76000000001;16512.0;1.0;1.914604821715181;92.0949848995285;B
AP_ESTADUAL_MUNICIPAL;E13;Cronometro digital profissional;esportivo;4;4;16176.17;14468.1;3.0;1.6776098607714032;93.7725947602999;B
AP_ESTADUAL_MUNICIPAL;E12;Apito de arbitro;esportivo;9;7;13020.25;12510.35;9.0;1.4506041927897597;95.22319895308965;C
AP_ESTADUAL_MUNICIPAL;P08;Apontador de lapis;educativo;12;12;276467.64;10650.0;1.0;1.2348922814478365;96.45809123453749;C
AP_ESTADUAL_MUNICIPAL;E22;Trofeu;esportivo;5;3;11321.18;8924.65;3.0;1.0348339342369421;97.49292516877443;C
AP_ESTADUAL_MUNICIPAL;E14;Bomba manual de ar para bolas;esportivo;3;3;5901.2;5610.0;2.0;0.6504925538894237;98.14341772266386;C
AP_ESTADUAL_MUNICIPAL;E23;Medalha de premiacao;esportivo;5;3;16217.5;4318.0;3.0;0.5006821475391322;98.644099870203;C
AP_ESTADUAL_MUNICIPAL;E16;Corda de pular;esportivo;1;1;3184.0;2880.0;1.0;0.33394270146195015;98.97804257166494;C
AP_ESTADUAL_MUNICIPAL;E07;Rede de volei;esportivo;3;3;6733.04;2533.0;2.0;0.29370724402886106;99.27174981569381;C
AP_ESTADUAL_MUNICIPAL;E06;Rede para trave de futsal/futebol;esportivo;1;1;2962.9;2085.0;1.0;0.24176060157922435;99.51351041727304;C
AP_ESTADUAL_MUNICIPAL;P21;Blocos logicos;educativo;1;1;1506.6;1494.0;1.0;0.17323277638338663;99.68674319365643;C
AP_ESTADUAL_MUNICIPAL;E24;Bambole;esportivo;1;1;1852.0;1198.0;1.0;0.13891088762201953;99.82565408127844;C
AP_ESTADUAL_MUNICIPAL;P05;Lapis grafite numero 2/HB;educativo;2;2;2899.7;1023.6;2.0;0.11868880181126812;99.94434288308972;C
AP_ESTADUAL_MUNICIPAL;E09;Colete de treinamento esportivo;esportivo;1;1;600.0;480.0;1.0;0.05565711691032502;100.00000000000004;C
AP_ESTADUAL_MUNICIPAL;E02;Bola de futsal;esportivo;2;1;4679.0;0.0;0.0;0.0;100.00000000000004;C
AP_ESTADUAL_MUNICIPAL;P03;Caderno brochura/brochurao;educativo;1;1;17803.76;0.0;0.0;0.0;100.00000000000004;C
AP_ESTADUAL_MUNICIPAL;P07;Borracha escolar;educativo;1;1;3057.28;0.0;0.0;0.0;100.00000000000004;C
AP_TODAS_ESFERAS;E03;Bola de volei;esportivo;16;10;425031.37;284798.92;13.0;29.491995652523702;29.491995652523702;A
