cnpj;orgao_razao_social;unidade_codigo;unidade_nome;municipio_nome;esfera_classificada;n_contratacoes;n_itens;valor_total_estimado;valor_homologado_elegivel
23066632000153;MUNICIPIO DE TARTARUGALZINHO;2978;MUNICIPIO DE TARTARUGALZINHO - AP ;Tartarugalzinho;municipal;2;2;606030.33;472500.0
23066814000124;MUNICIPIO DE FERREIRA GOMES;01;Prefeitura Municipal de Ferreira Gomes;Ferreira Gomes;municipal;4;15;346707.62;281006.8
23066905000160;MUNICIPIO DE LARANJAL DO JARI;2210;MUNICIPIO DE LARANJAL DO JARI/AP;Laranjal do Jari;municipal;5;11;479129.4225;228162.432
34925222000137;MUNICIPIO DE PRACUUBA;000000001;SECRETARIA MUNICIPAL DE ADMINISTRACAO;Pracuúba;municipal;3;10;309094.0;220460.0
12456167000140;FUNDO MUNICIPAL DE SAUDE DE VITORIA DO JARI;610;FUNDO MUNICIPAL DE SAÚDE DE VITORIA DO JARI/AP;Vitória do Jari;municipal;4;12;166878.0;53585.0
10820882000195;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO AMAPA;158150;INST.FED.DE EDUC.,CIENC.E TEC.DO AMAPA;Macapá;federal;6;21;61355.16;50024.020000000004
11762155000181;SECRETARIA DE ESTADO DA CULTURA;40;SECRETARIA DE ESTADO DA CULTURA ;Macapá;estadual;1;1;49946.0;44200.0
31443333000119;FUNDO ESTADUAL DE SEGURANCA PUBLICA DO ESTADO DO AMAPA - FUNSEP;3491;FUNDO ESTADUAL DE SEGURANÇA PÚBLICA;Macapá;estadual;1;1;56175.0;42132.0
23066640000108;MUNICIPIO DE SANTANA;980615;PREFEITURA MUNICIPAL DE SANTANA - AP;Santana;municipal;2;13;52882.83;40659.3
06023862000116;POLICIA MILITAR DO AMAPA;93;POLÍCIA MILITAR DO ESTADO DO AMAPÁ;Macapá;estadual;1;2;52960.0;36800.0
05986427000124;MUNICIPIO DE MAZAGAO;2138;Mazagão;Mazagão;municipal;1;2;54799.4;34245.5
55515312000120;SECRETARIA DE ESTADO DE COMPRAS E LICITACOES DO AMAPA;932875;EAP-SECRETARIA EST. DE COMPRAS E LICITACOES;Macapá;estadual;2;3;197903.06;33979.5
25002757000145;FUNDO DE REEQUIPAMENTO DO CORPO DE BOMBEIROS MILITAR DO ESTADO DO AMAPA - FREBOM;3;FUNDO DE REEQUIPAMENTO DO CORPO DE BOMBEIROS;Macapá;estadual;4;31;97090.0;32895.0
08186277000162;UNIVERSIDADE DO ESTADO DO AMAPA;3587;UNIVERSIDADE ESTADUAL DO AMAPÁ;Macapá;estadual;1;1;41184.0;30888.0
00394452000103;COMANDO DO EXERCITO;160026;COMANDO DA 22ª BRIGADA DE INFANTARIA DE SELVA;Macapá;federal;6;15;160321.55;23336.75
34869354000199;MINISTERIO PUBLICO DO ESTADO DO AMAPA;925037;MINISTéRIO PúBLICO DO ESTADO DO AMAPá;Macapá;estadual;2;7;52883.7;23086.6
34925214000190;MUNICIPIO DE ITAUBAL;000000001;PREFEITURA;Itaubal;municipal;1;1;22599.0;20919.0
00508903000188;JUSTICA FEDERAL DE PRIMEIRA INSTANCIA;090037;JUSTICA FEDERAL DE 1A. INSTANCIA/AP;Macapá;federal;2;4;10723.64;17468.010000000002
00743471000190;INSTITUTO DE PREVIDENCIA DO MUNICIPIO DE SANTANA;932102;MAP-INSTITUTO PREV. DO MUNICIPIO DE SANTANA;Santana;municipal;1;1;12441.0;12433.3
05194039000100;AGENCIA DE DEFESA E INSPECAO AGROPECUARIA DO ESTADO DO AMAPA - DIAGRO;73;AGÊNCIA DE DEFESA E INSPEÇÃO AGROPECUÁRIA;Amapá;estadual;1;1;13702.8;11986.8
02954346000154;CORPO DE BOMBEIROS MILITAR;94;CORPO DE BOMBEIROS MILITAR DO ESTADO DO AMAPÁ;Macapá;estadual;1;6;14226.48;11959.2
00394577000125;ESTADO DO AMAPA;3037;GOVERNO DO ESTADO DO AMAPÁ;Macapá;estadual;2;2;23100.0;11499.9
05990437000133;MUNICIPIO DE CALCOENE;932334;MAP-PREFEITURA MUNICIPAL DE CALÇOENE;Calçoene;municipal;2;7;16497.7;10193.4
11633713000109;DEPARTAMENTO ESTADUAL DE TRANSITO DO ESTADO DO AMAPA;63;DEPARTAMENTO ESTADUAL DE TRÂNSITO ;Amapá;estadual;1;3;13170.0;9861.0
15126437000305;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES - EBSERH;156956;HOSPITAL UNIV DA UNIVERSIDADE FEDERAL AMAPA;Macapá;indefinida;3;5;12369.5;8946.8
01002322000132;PROCURADORIA GERAL DO ESTADO DO AMAPA;11;PROCURADORIA-GERAL DO ESTADO ;Amapá;estadual;2;4;8524.4;8001.0
00509018000113;TRIBUNAL SUPERIOR ELEITORAL;070029;TRIBUNAL REGIONAL ELEITORAL/AP;Macapá;federal;1;3;10982.0;7440.0
