classificacao_produto_id;produto_nome;linha;n_itens;n_contratacoes;valor_total_estimado;valor_homologado_elegivel;n_resultados;participacao_pct;participacao_acumulada_pct;curva_abc
P16;Placa/folha de EVA para artesanato;educativo;1;1;590030.33;465000.0;1.0;25.38210269249186;25.38210269249186;A
E03;Bola de volei;esportivo;16;10;425031.37;284798.92;13.0;15.54579663258231;40.927899325074165;A
E23;Medalha de premiacao;esportivo;45;14;477650.5;186982.77000000002;20.0;10.206485741648574;51.13438506672274;A
P01;Papel sulfite A4, resma de 500 folhas;educativo;18;9;327134.8;170500.3;17.0;9.30678736279714;60.44117242951988;A
P06;Caneta esferografica azul/preta/vermelha;educativo;64;37;224970.62;137466.86;55.0;7.5036515211492505;67.94482395066913;A
E04;Bola de basquete;esportivo;11;9;178172.5;136899.84;9.0;7.472700639711194;75.41752459038032;A
P02;Caderno universitario, capa dura, 10+ materias;educativo;3;3;250420.14;128500.0;2.0;7.014193969860655;82.43171856024098;B
E01;Bola de futebol de campo;esportivo;3;3;106050.56;96772.0;3.0;5.2823157887265;87.71403434896749;B
P19;Apagador para quadro/lousa;educativo;12;12;67126.6425;44444.85;10.0;2.426029563123434;90.14006391209092;B
E15;Colchonete de ginastica;esportivo;6;6;52364.65;25446.4;4.0;1.3889959956004838;91.5290599076914;B
P12;Cola branca liquida, 90g ou 1kg;educativo;1;1;40174.4;22253.0;1.0;1.2146837230452072;92.74374363073662;B
E10;Cone esportivo de sinalizacao;esportivo;13;11;218696.25;18971.8;5.0;1.035578872820252;93.77932250355687;B
E12;Apito de arbitro;esportivo;15;13;392038.46;17195.35;12.0;0.9386110527598708;94.71793355631674;B
E13;Cronometro digital profissional;esportivo;5;5;16511.77;14796.9;4.0;0.8076912587753393;95.52562481509207;C
E02;Bola de futsal;esportivo;5;4;21536.6;13049.44;3.0;0.7123058627086258;96.2379306778007;C
E22;Trofeu;esportivo;8;6;19404.82;12592.65;5.0;0.6873719042378659;96.92530258203857;C
P04;Lapis de cor, caixa de 12 cores;educativo;3;3;20546.36;12069.8;3.0;0.6588320496297597;97.58413463166833;C
E21;Jogo de xadrez completo;esportivo;2;2;21914.0;9370.572;1.0;0.5114942382610512;98.09562886992939;C
E14;Bomba manual de ar para bolas;esportivo;2;2;5100.0;5610.0;2.0;0.30622278732232117;98.40185165725171;C
E17;Placa de tatame em EVA;esportivo;2;2;7505.4;5318.85;2.0;0.2903303159267965;98.6921819731785;C
E05;Bola de handebol;esportivo;5;3;10367.49;5293.62;5.0;0.28895313216135216;98.98113510533986;C
P15;Cartolina;educativo;10;4;4968.0;3630.0;7.0;0.19814415650267841;99.17927926184254;C
E16;Corda de pular;esportivo;1;1;3184.0;2880.0;1.0;0.15720528119220767;99.33648454303474;C
E07;Rede de volei;esportivo;3;3;6733.04;2533.0;2.0;0.13826422821522985;99.47474877124998;C
E24;Bambole;esportivo;4;4;5753.8;2310.0;4.0;0.1260917359562499;99.60084050720623;C
E06;Rede para trave de futsal/futebol;esportivo;1;1;2962.9;2085.0;1.0;0.11381007336310867;99.71465058056934;C
P21;Blocos logicos;educativo;1;1;1506.6;1494.0;1.0;0.08155023961845771;99.79620082018779;C
E20;Mesa de tenis de mesa;esportivo;1;1;1480.26;1480.0;2.0;0.08078604727932893;99.87698686746712;C
P05;Lapis grafite numero 2/HB;educativo;2;2;2899.7;1023.6;2.0;0.05587337702373048;99.93286024449085;C
P14;Regua plastica de 30cm;educativo;1;1;630.0;630.0;1.0;0.034388655260795424;99.96724889975165;C
E09;Colete de treinamento esportivo;esportivo;1;1;600.0;480.0;1.0;0.026200880198701277;99.99344977995035;C
P10;Tinta guache, conjunto de seis cores;educativo;1;1;198.6;120.0;1.0;0.006550220049675319;100.00000000000003;C
P03;Caderno brochura/brochurao;educativo;1;1;17803.76;0.0;0.0;0.0;100.00000000000003;C
P07;Borracha escolar;educativo;1;1;3057.28;0.0;0.0;0.0;100.00000000000003;C
