numero_controle_pncp;numero_item;descricao;material_ou_servico;quantidade;unidade_original;unidade_normalizada;fator_conversao;evidencia_conversao;valor_unitario_estimado;valor_total_estimado;orcamento_sigiloso;situacao_compra_item_id;situacao_compra_item_nome;tem_resultado;ncm_nbs_codigo;catalogo_codigo_item;categoria_item_catalogo;data_inclusao;data_atualizacao;classificacao_status;classificacao_produto_id;classificacao_linha;classificacao_motivo;classificacao_regra_versao;resultados_status;raw_json;captured_at;cnpj;orgao_razao_social;esfera_classificada;esfera_id;unidade_codigo;unidade_nome;municipio_nome;uf_sigla;modalidade_id;modalidade_nome;srp;data_publicacao_pncp;data_abertura_proposta;data_encerramento_proposta;situacao_compra_id;situacao_compra_nome;quantidade_homologada_total;valor_homologado_elegivel;n_resultados_elegiveis;n_fornecedores_vencedores;base_estimada_pareada;desagio_pct;desagio_negativo_flag;produto_id;linha;produto_nome;ncm_referencia
55515312000120-1-000008/2025;3669;Serviços de Plotagem - colorida, em papel sulfite A0 de cor branca: gramatura 75 g/m²;S;66894.0;1 - Serv.;1 - Serv.;;"unidade nao reconhecida no dicionario; preservada como original";44.22;2958052.68;0;3;Anulado/Revogado/Cancelado;0;;;;2025-11-12T13:14:11;2026-04-20T15:15:23;QUARENTENA;P01;educativo;descricao sugere servico/locacao, nao aquisicao de material;v1;nao_consultado;"{""numeroItem"": 3669, ""descricao"": ""Serviços de Plotagem - colorida, em papel sulfite A0 de cor branca: gramatura 75 g/m²"", ""materialOuServico"": ""S"", ""materialOuServicoNome"": ""Serviço"", ""valorUnitarioEstimado"": 44.22, ""valorTotal"": 2958052.68, ""quantidade"": 66894.0, ""unidadeMedida"": ""1 - Serv."", ""orcamentoSigiloso"": false, ""itemCategoriaId"": 3, ""itemCategoriaNome"": ""Não se aplica"", ""patrimonio"": null, ""codigoRegistroImobiliario"": null, ""criterioJulgamentoId"": 1, ""criterioJulgamentoNome"": ""Menor preço"", ""situacaoCompraItem"": 3, ""situacaoCompraItemNome"": ""Anulado/Revogado/Cancelado"", ""tipoBeneficio"": 5, ""tipoBeneficioNome"": ""Não se aplica"", ""incentivoProdutivoBasico"": false, ""dataInclusao"": ""2025-11-12T13:14:11"", ""dataAtualizacao"": ""2026-04-20T15:15:23"", ""temResultado"": false, ""imagem"": 0, ""aplicabilidadeMargemPreferenciaNormal"": false, ""aplicabilidadeMargemPreferenciaAdicional"": false, ""percentualMargemPreferenciaNormal"": null, ""percentualMargemPreferenciaAdicional"": null, ""ncmNbsCodigo"": null, ""ncmNbsDescricao"": null, ""catalogo"": null, ""categoriaItemCatalogo"": null, ""catalogoCodigoItem"": null, ""informacaoComplementar"": null, ""tipoMargemPreferencia"": null, ""exigenciaConteudoNacional"": false}";2026-09-12T19:21:30.186146;55515312000120;SECRETARIA DE ESTADO DE COMPRAS E LICITACOES DO AMAPA;estadual;E;932875;EAP-SECRETARIA EST. DE COMPRAS E LICITACOES;Macapá;AP;6;Pregão - Eletrônico;1;2025-11-12T13:14:11;2025-11-12T12:00:00;2025-12-15T08:29:00;3;Anulada;0.0;0.0;;;;;False;P01;educativo;Papel sulfite A4, resma de 500 folhas;4802.56.10
55515312000120-1-000008/2025;3670;Serviços de Plotagem - colorida, em papel sulfite A0 de cor branca: gramatura 75 g/m²;S;22298.0;1 - Serv.;1 - Serv.;;"unidade nao reconhecida no dicionario; preservada como original";44.22;986017.56;0;3;Anulado/Revogado/Cancelado;0;;;;2025-11-12T13:14:11;2026-04-20T15:15:24;QUARENTENA;P01;educativo;descricao sugere servico/locacao, nao aquisicao de material;v1;nao_consultado;"{""numeroItem"": 3670, ""descricao"": ""Serviços de Plotagem - colorida, em papel sulfite A0 de cor branca: gramatura 75 g/m²"", ""materialOuServico"": ""S"", ""materialOuServicoNome"": ""Serviço"", ""valorUnitarioEstimado"": 44.22, ""valorTotal"": 986017.56, ""quantidade"": 22298.0, ""unidadeMedida"": ""1 - Serv."", ""orcamentoSigiloso"": false, ""itemCategoriaId"": 3, ""itemCategoriaNome"": ""Não se aplica"", ""patrimonio"": null, ""codigoRegistroImobiliario"": null, ""criterioJulgamentoId"": 1, ""criterioJulgamentoNome"": ""Menor preço"", ""situacaoCompraItem"": 3, ""situacaoCompraItemNome"": ""Anulado/Revogado/Cancelado"", ""tipoBeneficio"": 5, ""tipoBeneficioNome"": ""Não se aplica"", ""incentivoProdutivoBasico"": false, ""dataInclusao"": ""2025-11-12T13:14:11"", ""dataAtualizacao"": ""2026-04-20T15:15:24"", ""temResultado"": false, ""imagem"": 0, ""aplicabilidadeMargemPreferenciaNormal"": false, ""aplicabilidadeMargemPreferenciaAdicional"": false, ""percentualMargemPreferenciaNormal"": null, ""percentualMargemPreferenciaAdicional"": null, ""ncmNbsCodigo"": null, ""ncmNbsDescricao"": null, ""catalogo"": null, ""categoriaItemCatalogo"": null, ""catalogoCodigoItem"": null, ""informacaoComplementar"": null, ""tipoMargemPreferencia"": null, ""exigenciaConteudoNacional"": false}";2026-09-12T19:21:30.186146;55515312000120;SECRETARIA DE ESTADO DE COMPRAS E LICITACOES DO AMAPA;estadual;E;932875;EAP-SECRETARIA EST. DE COMPRAS E LICITACOES;Macapá;AP;6;Pregão - Eletrônico;1;2025-11-12T13:14:11;2025-11-12T12:00:00;2025-12-15T08:29:00;3;Anulada;0.0;0.0;;;;;False;P01;educativo;Papel sulfite A4, resma de 500 folhas;4802.56.10
55515312000120-1-000008/2025;3671;Serviços de Plotagem - colorida, em papel sulfite A1 de cor branca: gramatura 75 g/m²;S;67607.0;1 - Serv.;1 - Serv.;;"unidade nao reconhecida no dicionario; preservada como original";33.48;2263482.36;0;3;Anulado/Revogado/Cancelado;0;;;;2025-11-12T13:14:11;2026-04-20T15:15:24;QUARENTENA;P01;educativo;descricao sugere servico/locacao, nao aquisicao de material;v1;nao_consultado;"{""numeroItem"": 3671, ""descricao"": ""Serviços de Plotagem - colorida, em papel sulfite A1 de cor branca: gramatura 75 g/m²"", ""materialOuServico"": ""S"", ""materialOuServicoNome"": ""Serviço"", ""valorUnitarioEstimado"": 33.48, ""valorTotal"": 2263482.36, ""quantidade"": 67607.0, ""unidadeMedida"": ""1 - Serv."", ""orcamentoSigiloso"": false, ""itemCategoriaId"": 3, ""itemCategoriaNome"": ""Não se aplica"", ""patrimonio"": null, ""codigoRegistroImobiliario"": null, ""criterioJulgamentoId"": 1, ""criterioJulgamentoNome"": ""Menor preço"", ""situacaoCompraItem"": 3, ""situacaoCompraItemNome"": ""Anulado/Revogado/Cancelado"", ""tipoBeneficio"": 5, ""tipoBeneficioNome"": ""Não se aplica"", ""incentivoProdutivoBasico"": false, ""dataInclusao"": ""2025-11-12T13:14:11"", ""dataAtualizacao"": ""2026-04-20T15:15:24"", ""temResultado"": false, ""imagem"": 0, ""aplicabilidadeMargemPreferenciaNormal"": false, ""aplicabilidadeMargemPreferenciaAdicional"": false, ""percentualMargemPreferenciaNormal"": null, ""percentualMargemPreferenciaAdicional"": null, ""ncmNbsCodigo"": null, ""ncmNbsDescricao"": null, ""catalogo"": null, ""categoriaItemCatalogo"": null, ""catalogoCodigoItem"": null, ""informacaoComplementar"": null, ""tipoMargemPreferencia"": null, ""exigenciaConteudoNacional"": false}";2026-09-12T19:21:30.186146;55515312000120;SECRETARIA DE ESTADO DE COMPRAS E LICITACOES DO AMAPA;estadual;E;932875;EAP-SECRETARIA EST. DE COMPRAS E LICITACOES;Macapá;AP;6;Pregão - Eletrônico;1;2025-11-12T13:14:11;2025-11-12T12:00:00;2025-12-15T08:29:00;3;Anulada;0.0;0.0;;;;;False;P01;educativo;Papel sulfite A4, resma de 500 folhas;4802.56.10
55515312000120-1-000008/2025;3672;Serviços de Plotagem - colorida, em papel sulfite A1 de cor branca: gramatura 75 g/m²;S;22535.0;1 - Serv.;1 - Serv.;;"unidade nao reconhecida no dicionario; preservada como original";33.48;754471.8;0;3;Anulado/Revogado/Cancelado;0;;;;2025-11-12T13:14:11;2026-04-20T15:15:24;QUARENTENA;P01;educativo;descricao sugere servico/locacao, nao aquisicao de material;v1;nao_consultado;"{""numeroItem"": 3672, ""descricao"": ""Serviços de Plotagem - colorida, em papel sulfite A1 de cor branca: gramatura 75 g/m²"", ""materialOuServico"": ""S"", ""materialOuServicoNome"": ""Serviço"", ""valorUnitarioEstimado"": 33.48, ""valorTotal"": 754471.8, ""quantidade"": 22535.0, ""unidadeMedida"": ""1 - Serv."", ""orcamentoSigiloso"": false, ""itemCategoriaId"": 3, ""itemCategoriaNome"": ""Não se aplica"", ""patrimonio"": null, ""codigoRegistroImobiliario"": null, ""criterioJulgamentoId"": 1, ""criterioJulgamentoNome"": ""Menor preço"", ""situacaoCompraItem"": 3, ""situacaoCompraItemNome"": ""Anulado/Revogado/Cancelado"", ""tipoBeneficio"": 5, ""tipoBeneficioNome"": ""Não se aplica"", ""incentivoProdutivoBasico"": false, ""dataInclusao"": ""2025-11-12T13:14:11"", ""dataAtualizacao"": ""2026-04-20T15:15:24"", ""temResultado"": false, ""imagem"": 0, ""aplicabilidadeMargemPreferenciaNormal"": false, ""aplicabilidadeMargemPreferenciaAdicional"": false, ""percentualMargemPreferenciaNormal"": null, ""percentualMargemPreferenciaAdicional"": null, ""ncmNbsCodigo"": null, ""ncmNbsDescricao"": null, ""catalogo"": null, ""categoriaItemCatalogo"": null, ""catalogoCodigoItem"": null, ""informacaoComplementar"": null, ""tipoMargemPreferencia"": null, ""exigenciaConteudoNacional"": false}";2026-09-12T19:21:30.186146;55515312000120;SECRETARIA DE ESTADO DE COMPRAS E LICITACOES DO AMAPA;estadual;E;932875;EAP-SECRETARIA EST. DE COMPRAS E LICITACOES;Macapá;AP;6;Pregão - Eletrônico;1;2025-11-12T13:14:11;2025-11-12T12:00:00;2025-12-15T08:29:00;3;Anulada;0.0;0.0;;;;;False;P01;educativo;Papel sulfite A4, resma de 500 folhas;4802.56.10
34925131000100-1-000022/2025;1;REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE SERVIÇOS DE INTERNET COM LINK DEDICADO DE 1,5 GB E REDUNDÂNCIA VIA SATÉLITE DO LINK PRINCIPAL, COM FORNECIMENTO DE 11 GBPS EM VLAN (REDE VIRTUAL) COM VELOCIDADE DE ATÉ 500 MBPS SIMÉTRICOS PARA CADA ENDEREÇO, ATRAVÉS DE UMA REDE DE FIBRA ÓPTICA (INFRAESTRUTURA DE FIBRA ÓPTICA) PARA ACESSO A REDE MUNDIAL DE COMPUTADORES, ACESSO INTERNET VIA REDE SEM FIO EM PRAÇAS DIGITAIS, ATRAVÉS DE UM PROVEDOR COM CIRCUITO DE ACESSO DEDICADO NAS LOCALIDADES E VELOCIDADES DESCRITAS NA TABELA ABAIXO, COM DISPONIBILIDADE 24 (VINTE E QUATRO) HORAS/DIA, DURANTE OS 7 (SETE) DIAS DA SEMANA, A PARTIR DE SUA ATIVAÇÃO ATÉ O TÉRMINO DO CONTRATO, CONFORME AS CARACTERÍSTICAS TÉCNICAS DESCRITAS NESTE TERMO DE REFERÊNCIA, PARA ATENDER AS NECESSIDADES DA PREFEITURA MUNICIPAL DE PEDRA BRANCA DO AMAPARI/AP.;S;1.0;Unidade;unidade;1.0;unidade original ja comparavel (sem conversao);2598965.76;2598965.76;0;2;Homologado;1;;;;2025-12-17T11:34:49;2026-01-16T11:11:02;QUARENTENA;E06;esportivo;descricao sugere servico/locacao, nao aquisicao de material;v1;nao_consultado;"{""numeroItem"": 1, ""descricao"": ""REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE SERVIÇOS DE INTERNET COM LINK DEDICADO DE 1,5 GB E REDUNDÂNCIA VIA SATÉLITE DO LINK PRINCIPAL, COM FORNECIMENTO DE 11 GBPS EM VLAN (REDE VIRTUAL) COM VELOCIDADE DE ATÉ 500 MBPS SIMÉTRICOS PARA CADA ENDEREÇO, ATRAVÉS DE UMA REDE DE FIBRA ÓPTICA (INFRAESTRUTURA DE FIBRA ÓPTICA) PARA ACESSO A REDE MUNDIAL DE COMPUTADORES, ACESSO INTERNET VIA REDE SEM FIO EM PRAÇAS DIGITAIS, ATRAVÉS DE UM PROVEDOR COM CIRCUITO DE ACESSO DEDICADO NAS LOCALIDADES E VELOCIDADES DESCRITAS NA TABELA ABAIXO, COM DISPONIBILIDADE 24 (VINTE E QUATRO) HORAS/DIA, DURANTE OS 7 (SETE) DIAS DA SEMANA, A PARTIR DE SUA ATIVAÇÃO ATÉ O TÉRMINO DO CONTRATO, CONFORME AS CARACTERÍSTICAS TÉCNICAS DESCRITAS NESTE TERMO DE REFERÊNCIA, PARA ATENDER AS NECESSIDADES DA PREFEITURA MUNICIPAL DE PEDRA BRANCA DO AMAPARI/AP."", ""materialOuServico"": ""S"", ""materialOuServicoNome"": ""Serviço"", ""valorUnitarioEstimado"": 2598965.76, ""valorTotal"": 2598965.76, ""quantidade"": 1.0, ""unidadeMedida"": ""Unidade"", ""orcamentoSigiloso"": false, ""itemCategoriaId"": 3, ""itemCategoriaNome"": ""Não se aplica"", ""patrimonio"": null, ""codigoRegistroImobiliario"": null, ""criterioJulgamentoId"": 1, ""criterioJulgamentoNome"": ""Menor preço"", ""situacaoCompraItem"": 2, ""situacaoCompraItemNome"": ""Homologado"", ""tipoBeneficio"": 4, ""tipoBeneficioNome"": ""Sem benefício"", ""incentivoProdutivoBasico"": false, ""dataInclusao"": ""2025-12-17T11:34:49"", ""dataAtualizacao"": ""2026-01-16T11:11:02"", ""temResultado"": true, ""imagem"": 0, ""aplicabilidadeMargemPreferenciaNormal"": false, ""aplicabilidadeMargemPreferenciaAdicional"": false, ""percentualMargemPreferenciaNormal"": null, ""percentualMargemPreferenciaAdicional"": null, ""ncmNbsCodigo"": null, ""ncmNbsDescricao"": null, ""catalogo"": null, ""categoriaItemCatalogo"": null, ""catalogoCodigoItem"": null, ""informacaoComplementar"": null, ""tipoMargemPreferencia"": null, ""exigenciaConteudoNacional"": false}";2026-09-12T19:22:45.214455;34925131000100;MUNICIPIO DE PEDRA BRANCA DO AMAPARI;municipal;M;8015;Prefeitura Municipal de Pedra Branca do Amapari;Pedra Branca do Amapari;AP;6;Pregão - Eletrônico;1;2025-12-17T11:34:49;2025-12-19T08:00:00;2026-01-02T08:00:00;1;Divulgada no PNCP;0.0;0.0;;;;;False;E06;esportivo;Rede para trave de futsal/futebol;9506.99.00
55515312000120-1-000028/2026;7;Serviços de Plotagem - colorida, em papel sulfite A0 de cor branca: gramatura 75 g/m²;S;66894.0;1 Serv.;1 Serv.;;"unidade nao reconhecida no dicionario; preservada como original";32.14;2149973.16;0;1;Em andamento;0;;;;2026-06-10T20:49:50;2026-06-10T20:49:50;QUARENTENA;P01;educativo;descricao sugere servico/locacao, nao aquisicao de material;v1;nao_consultado;"{""numeroItem"": 7, ""descricao"": ""Serviços de Plotagem - colorida, em papel sulfite A0 de cor branca: gramatura 75 g/m²"", ""materialOuServico"": ""S"", ""materialOuServicoNome"": ""Serviço"", ""valorUnitarioEstimado"": 32.14, ""valorTotal"": 2149973.16, ""quantidade"": 66894.0, ""unidadeMedida"": ""1 Serv."", ""orcamentoSigiloso"": false, ""itemCategoriaId"": 3, ""itemCategoriaNome"": ""Não se aplica"", ""patrimonio"": null, ""codigoRegistroImobiliario"": null, ""criterioJulgamentoId"": 1, ""criterioJulgamentoNome"": ""Menor preço"", ""situacaoCompraItem"": 1, ""situacaoCompraItemNome"": ""Em andamento"", ""tipoBeneficio"": 5, ""tipoBeneficioNome"": ""Não se aplica"", ""incentivoProdutivoBasico"": false, ""dataInclusao"": ""2026-06-10T20:49:50"", ""dataAtualizacao"": ""2026-06-10T20:49:50"", ""temResultado"": false, ""imagem"": 0, ""aplicabilidadeMargemPreferenciaNormal"": false, ""aplicabilidadeMargemPreferenciaAdicional"": false, ""percentualMargemPreferenciaNormal"": null, ""percentualMargemPreferenciaAdicional"": null, ""ncmNbsCodigo"": null, ""ncmNbsDescricao"": null, ""catalogo"": null, ""categoriaItemCatalogo"": null, ""catalogoCodigoItem"": null, ""informacaoComplementar"": null, ""tipoMargemPreferencia"": null, ""exigenciaConteudoNacional"": false}";2026-09-12T19:27:20.565505;55515312000120;SECRETARIA DE ESTADO DE COMPRAS E LICITACOES DO AMAPA;estadual;E;932875;EAP-SECRETARIA EST. DE COMPRAS E LICITACOES;Macapá;AP;6;Pregão - Eletrônico;1;2026-06-10T20:49:50;2026-06-10T00:00:00;2026-06-24T08:29:00;1;Divulgada no PNCP;0.0;0.0;;;;;False;P01;educativo;Papel sulfite A4, resma de 500 folhas;4802.56.10
55515312000120-1-000028/2026;8;Serviços de Plotagem - colorida, em papel sulfite A0 de cor branca: gramatura 75 g/m²;S;22298.0;1 Serv.;1 Serv.;;"unidade nao reconhecida no dicionario; preservada como original";32.14;716657.72;0;1;Em andamento;0;;;;2026-06-10T20:49:50;2026-06-10T20:49:50;QUARENTENA;P01;educativo;descricao sugere servico/locacao, nao aquisicao de material;v1;nao_consultado;"{""numeroItem"": 8, ""descricao"": ""Serviços de Plotagem - colorida, em papel sulfite A0 de cor branca: gramatura 75 g/m²"", ""materialOuServico"": ""S"", ""materialOuServicoNome"": ""Serviço"", ""valorUnitarioEstimado"": 32.14, ""valorTotal"": 716657.72, ""quantidade"": 22298.0, ""unidadeMedida"": ""1 Serv."", ""orcamentoSigiloso"": false, ""itemCategoriaId"": 3, ""itemCategoriaNome"": ""Não se aplica"", ""patrimonio"": null, ""codigoRegistroImobiliario"": null, ""criterioJulgamentoId"": 1, ""criterioJulgamentoNome"": ""Menor preço"", ""situacaoCompraItem"": 1, ""situacaoCompraItemNome"": ""Em andamento"", ""tipoBeneficio"": 1, ""tipoBeneficioNome"": ""Participação exclusiva para ME/EPP"", ""incentivoProdutivoBasico"": false, ""dataInclusao"": ""2026-06-10T20:49:50"", ""dataAtualizacao"": ""2026-06-10T20:49:50"", ""temResultado"": false, ""imagem"": 0, ""aplicabilidadeMargemPreferenciaNormal"": false, ""aplicabilidadeMargemPreferenciaAdicional"": false, ""percentualMargemPreferenciaNormal"": null, ""percentualMargemPreferenciaAdicional"": null, ""ncmNbsCodigo"": null, ""ncmNbsDescricao"": null, ""catalogo"": null, ""categoriaItemCatalogo"": null, ""catalogoCodigoItem"": null, ""informacaoComplementar"": null, ""tipoMargemPreferencia"": null, ""exigenciaConteudoNacional"": false}";2026-09-12T19:27:20.565505;55515312000120;SECRETARIA DE ESTADO DE COMPRAS E LICITACOES DO AMAPA;estadual;E;932875;EAP-SECRETARIA EST. DE COMPRAS E LICITACOES;Macapá;AP;6;Pregão - Eletrônico;1;2026-06-10T20:49:50;2026-06-10T00:00:00;2026-06-24T08:29:00;1;Divulgada no PNCP;0.0;0.0;;;;;False;P01;educativo;Papel sulfite A4, resma de 500 folhas;4802.56.10
55515312000120-1-000028/2026;9;Serviços de Plotagem - colorida, em papel sulfite A1 de cor branca: gramatura 75 g/m²;S;67607.0;1 Serv.;1 Serv.;;"unidade nao reconhecida no dicionario; preservada como original";32.63;2206016.41;0;1;Em andamento;0;;;;2026-06-10T20:49:50;2026-06-10T20:49:50;QUARENTENA;P01;educativo;descricao sugere servico/locacao, nao aquisicao de material;v1;nao_consultado;"{""numeroItem"": 9, ""descricao"": ""Serviços de Plotagem - colorida, em papel sulfite A1 de cor branca: gramatura 75 g/m²"", ""materialOuServico"": ""S"", ""materialOuServicoNome"": ""Serviço"", ""valorUnitarioEstimado"": 32.63, ""valorTotal"": 2206016.41, ""quantidade"": 67607.0, ""unidadeMedida"": ""1 Serv."", ""orcamentoSigiloso"": false, ""itemCategoriaId"": 3, ""itemCategoriaNome"": ""Não se aplica"", ""patrimonio"": null, ""codigoRegistroImobiliario"": null, ""criterioJulgamentoId"": 1, ""criterioJulgamentoNome"": ""Menor preço"", ""situacaoCompraItem"": 1, ""situacaoCompraItemNome"": ""Em andamento"", ""tipoBeneficio"": 5, ""tipoBeneficioNome"": ""Não se aplica"", ""incentivoProdutivoBasico"": false, ""dataInclusao"": ""2026-06-10T20:49:50"", ""dataAtualizacao"": ""2026-06-10T20:49:50"", ""temResultado"": false, ""imagem"": 0, ""aplicabilidadeMargemPreferenciaNormal"": false, ""aplicabilidadeMargemPreferenciaAdicional"": false, ""percentualMargemPreferenciaNormal"": null, ""percentualMargemPreferenciaAdicional"": null, ""ncmNbsCodigo"": null, ""ncmNbsDescricao"": null, ""catalogo"": null, ""categoriaItemCatalogo"": null, ""catalogoCodigoItem"": null, ""informacaoComplementar"": null, ""tipoMargemPreferencia"": null, ""exigenciaConteudoNacional"": false}";2026-09-12T19:27:20.565505;55515312000120;SECRETARIA DE ESTADO DE COMPRAS E LICITACOES DO AMAPA;estadual;E;932875;EAP-SECRETARIA EST. DE COMPRAS E LICITACOES;Macapá;AP;6;Pregão - Eletrônico;1;2026-06-10T20:49:50;2026-06-10T00:00:00;2026-06-24T08:29:00;1;Divulgada no PNCP;0.0;0.0;;;;;False;P01;educativo;Papel sulfite A4, resma de 500 folhas;4802.56.10
55515312000120-1-000028/2026;10;Serviços de Plotagem - colorida, em papel sulfite A1 de cor branca: gramatura 75 g/m²;S;22535.0;1 Serv.;1 Serv.;;"unidade nao reconhecida no dicionario; preservada como original";32.63;735317.05;0;1;Em andamento;0;;;;2026-06-10T20:49:50;2026-06-10T20:49:50;QUARENTENA;P01;educativo;descricao sugere servico/locacao, nao aquisicao de material;v1;nao_consultado;"{""numeroItem"": 10, ""descricao"": ""Serviços de Plotagem - colorida, em papel sulfite A1 de cor branca: gramatura 75 g/m²"", ""materialOuServico"": ""S"", ""materialOuServicoNome"": ""Serviço"", ""valorUnitarioEstimado"": 32.63, ""valorTotal"": 735317.05, ""quantidade"": 22535.0, ""unidadeMedida"": ""1 Serv."", ""orcamentoSigiloso"": false, ""itemCategoriaId"": 3, ""itemCategoriaNome"": ""Não se aplica"", ""patrimonio"": null, ""codigoRegistroImobiliario"": null, ""criterioJulgamentoId"": 1, ""criterioJulgamentoNome"": ""Menor preço"", ""situacaoCompraItem"": 1, ""situacaoCompraItemNome"": ""Em andamento"", ""tipoBeneficio"": 1, ""tipoBeneficioNome"": ""Participação exclusiva para ME/EPP"", ""incentivoProdutivoBasico"": false, ""dataInclusao"": ""2026-06-10T20:49:50"", ""dataAtualizacao"": ""2026-06-10T20:49:50"", ""temResultado"": false, ""imagem"": 0, ""aplicabilidadeMargemPreferenciaNormal"": false, ""aplicabilidadeMargemPreferenciaAdicional"": false, ""percentualMargemPreferenciaNormal"": null, ""percentualMargemPreferenciaAdicional"": null, ""ncmNbsCodigo"": null, ""ncmNbsDescricao"": null, ""catalogo"": null, ""categoriaItemCatalogo"": null, ""catalogoCodigoItem"": null, ""informacaoComplementar"": null, ""tipoMargemPreferencia"": null, ""exigenciaConteudoNacional"": false}";2026-09-12T19:27:20.565505;55515312000120;SECRETARIA DE ESTADO DE COMPRAS E LICITACOES DO AMAPA;estadual;E;932875;EAP-SECRETARIA EST. DE COMPRAS E LICITACOES;Macapá;AP;6;Pregão - Eletrônico;1;2026-06-10T20:49:50;2026-06-10T00:00:00;2026-06-24T08:29:00;1;Divulgada no PNCP;0.0;0.0;;;;;False;P01;educativo;Papel sulfite A4, resma de 500 folhas;4802.56.10
10820882000195-1-000043/2025;10;"Arbitragem / Mediação Civil e Comercial Serviços de arbitragem esportiva, com
a disponibilização de árbitros
qualificados e devidamente
credenciados junto à federação ou
entidade de classe competente.
Atuação no âmbito das Olimpíadas dos
Servidores Federais.  Modalidade:
Xadrez";S;1.0;UNIDADE;unidade;1.0;unidade original ja comparavel (sem conversao);1800.0;1800.0;0;2;Homologado;1;;;;2025-09-30T10:23:52;2025-09-30T10:26:52;QUARENTENA;E21;esportivo;descricao sugere servico/locacao, nao aquisicao de material;v1;nao_consultado;"{""numeroItem"": 10, ""descricao"": ""Arbitragem / Mediação Civil e Comercial Serviços de arbitragem esportiva, com\na disponibilização de árbitros\nqualificados e devidamente\ncredenciados junto à federação ou\nentidade de classe competente.\nAtuação no âmbito das Olimpíadas dos\nServidores Federais.  Modalidade:\nXadrez"", ""materialOuServico"": ""S"", ""materialOuServicoNome"": ""Serviço"", ""valorUnitarioEstimado"": 1800.0, ""valorTotal"": 1800.0, ""quantidade"": 1.0, ""unidadeMedida"": ""UNIDADE"", ""orcamentoSigiloso"": false, ""itemCategoriaId"": 3, ""itemCategoriaNome"": ""Não se aplica"", ""patrimonio"": null, ""codigoRegistroImobiliario"": null, ""criterioJulgamentoId"": 7, ""criterioJulgamentoNome"": ""Não se aplica"", ""situacaoCompraItem"": 2, ""situacaoCompraItemNome"": ""Homologado"", ""tipoBeneficio"": 5, ""tipoBeneficioNome"": ""Não se aplica"", ""incentivoProdutivoBasico"": false, ""dataInclusao"": ""2025-09-30T10:23:52"", ""dataAtualizacao"": ""2025-09-30T10:26:52"", ""temResultado"": true, ""imagem"": 0, ""aplicabilidadeMargemPreferenciaNormal"": false, ""aplicabilidadeMargemPreferenciaAdicional"": false, ""percentualMargemPreferenciaNormal"": null, ""percentualMargemPreferenciaAdicional"": null, ""ncmNbsCodigo"": null, ""ncmNbsDescricao"": null, ""catalogo"": null, ""categoriaItemCatalogo"": null, ""catalogoCodigoItem"": null, ""informacaoComplementar"": null, ""tipoMargemPreferencia"": null, ""exigenciaConteudoNacional"": false}";2026-09-12T19:45:01.577456;10820882000195;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO AMAPA;federal;F;158150;INST.FED.DE EDUC.,CIENC.E TEC.DO AMAPA;Macapá;AP;8;Dispensa;0;2025-09-30T10:23:41;;;1;Divulgada no PNCP;0.0;0.0;;;;;False;E21;esportivo;Jogo de xadrez completo;9504.90.10
