numero_controle_pncp;numero_item;sequencial_resultado;ni_fornecedor;nome_fornecedor;tipo_pessoa;porte_fornecedor;quantidade_homologada;valor_unitario_homologado;valor_total_homologado;situacao_resultado_id;situacao_resultado_nome;data_resultado;data_cancelamento_raw;cancelado_efetivo;motivo_avaliacao_cancelamento;motivo_cancelamento_raw;reserva_remanescente_codigo;reserva_remanescente_nome;ordem_classificacao_srp;raw_json;captured_at
23066640000108-1-000002/2025;1;1;28171519000151;B. DE C. FERREIRA LTDA;PJ;ME;23.0;22.75;523.25;1;Informado;2025-07-22;;0;sentinela/ausente sem motivo nem situacao de cancelamento -> nao cancelado;;1;Não se aplica;;"{""indicadorSubcontratacao"": false, ""numeroItem"": 1, ""dataInclusao"": ""2025-07-22T19:17:00"", ""niFornecedor"": ""28171519000151"", ""dataCancelamento"": null, ""dataAtualizacao"": ""2025-07-22T19:17:00"", ""tipoPessoa"": ""PJ"", ""nomeRazaoSocialFornecedor"": ""B. DE C. FERREIRA LTDA"", ""valorTotalHomologado"": 523.25, ""reservaRemanescente"": {""codigo"": 1, ""nome"": ""Não se aplica""}, ""timezoneCotacaoMoedaEstrangeira"": null, ""moedaEstrangeira"": null, ""valorNominalMoedaEstrangeira"": null, ""dataCotacaoMoedaEstrangeira"": null, ""codigoPais"": ""BRA"", ""porteFornecedorId"": 1, ""quantidadeHomologada"": 23.0, ""valorUnitarioHomologado"": 22.75, ""percentualDesconto"": 0.0, ""amparoLegalMargemPreferencia"": null, ""amparoLegalCriterioDesempate"": null, ""paisOrigemProdutoServico"": null, ""localidadeExterior"": null, ""ordemClassificacaoSrp"": null, ""dataResultado"": ""2025-07-22"", ""motivoCancelamento"": null, ""numeroControlePNCPCompra"": ""23066640000108-1-000002/2025"", ""situacaoCompraItemResultadoId"": 1, ""porteFornecedorNome"": ""ME"", ""situacaoCompraItemResultadoNome"": ""Informado"", ""sequencialResultado"": 1, ""naturezaJuridicaNome"": ""Sociedade Empresária Limitada"", ""localidadeFornecedor"": null, ""aplicacaoMargemPreferencia"": false, ""aplicacaoBeneficioMeEpp"": false, ""aplicacaoCriterioDesempate"": false, ""naturezaJuridicaId"": ""2062""}";2026-09-12T20:10:02.643611
23066640000108-1-000002/2025;3;1;28171519000151;B. DE C. FERREIRA LTDA;PJ;ME;30.0;120.33;3609.9;1;Informado;2025-07-22;;0;sentinela/ausente sem motivo nem situacao de cancelamento -> nao cancelado;;1;Não se aplica;;"{""indicadorSubcontratacao"": false, ""numeroItem"": 3, ""dataInclusao"": ""2025-07-22T19:17:24"", ""niFornecedor"": ""28171519000151"", ""dataCancelamento"": null, ""dataAtualizacao"": ""2025-07-22T19:17:24"", ""tipoPessoa"": ""PJ"", ""nomeRazaoSocialFornecedor"": ""B. DE C. FERREIRA LTDA"", ""valorTotalHomologado"": 3609.9, ""reservaRemanescente"": {""codigo"": 1, ""nome"": ""Não se aplica""}, ""timezoneCotacaoMoedaEstrangeira"": null, ""moedaEstrangeira"": null, ""valorNominalMoedaEstrangeira"": null, ""dataCotacaoMoedaEstrangeira"": null, ""codigoPais"": ""BRA"", ""porteFornecedorId"": 1, ""quantidadeHomologada"": 30.0, ""valorUnitarioHomologado"": 120.33, ""percentualDesconto"": 0.0, ""amparoLegalMargemPreferencia"": null, ""amparoLegalCriterioDesempate"": null, ""paisOrigemProdutoServico"": null, ""localidadeExterior"": null, ""ordemClassificacaoSrp"": null, ""dataResultado"": ""2025-07-22"", ""motivoCancelamento"": null, ""numeroControlePNCPCompra"": ""23066640000108-1-000002/2025"", ""situacaoCompraItemResultadoId"": 1, ""porteFornecedorNome"": ""ME"", ""situacaoCompraItemResultadoNome"": ""Informado"", ""sequencialResultado"": 1, ""naturezaJuridicaNome"": ""Sociedade Empresária Limitada"", ""localidadeFornecedor"": null, ""aplicacaoMargemPreferencia"": false, ""aplicacaoBeneficioMeEpp"": false, ""aplicacaoCriterioDesempate"": false, ""naturezaJuridicaId"": ""2062""}";2026-09-12T20:10:04.864823
23066640000108-1-000002/2025;4;1;28171519000151;B. DE C. FERREIRA LTDA;PJ;ME;15.0;49.5;742.5;1;Informado;2025-07-22;;0;sentinela/ausente sem motivo nem situacao de cancelamento -> nao cancelado;;1;Não se aplica;;"{""indicadorSubcontratacao"": false, ""dataInclusao"": ""2025-07-22T19:16:56"", ""numeroItem"": 4, ""niFornecedor"": ""28171519000151"", ""dataCancelamento"": null, ""dataAtualizacao"": ""2025-07-22T19:16:56"", ""tipoPessoa"": ""PJ"", ""nomeRazaoSocialFornecedor"": ""B. DE C. FERREIRA LTDA"", ""valorTotalHomologado"": 742.5, ""reservaRemanescente"": {""codigo"": 1, ""nome"": ""Não se aplica""}, ""timezoneCotacaoMoedaEstrangeira"": null, ""moedaEstrangeira"": null, ""valorNominalMoedaEstrangeira"": null, ""dataCotacaoMoedaEstrangeira"": null, ""codigoPais"": ""BRA"", ""porteFornecedorId"": 1, ""quantidadeHomologada"": 15.0, ""valorUnitarioHomologado"": 49.5, ""percentualDesconto"": 0.0, ""amparoLegalMargemPreferencia"": null, ""amparoLegalCriterioDesempate"": null, ""paisOrigemProdutoServico"": null, ""localidadeExterior"": null, ""ordemClassificacaoSrp"": null, ""dataResultado"": ""2025-07-22"", ""motivoCancelamento"": null, ""numeroControlePNCPCompra"": ""23066640000108-1-000002/2025"", ""situacaoCompraItemResultadoId"": 1, ""porteFornecedorNome"": ""ME"", ""situacaoCompraItemResultadoNome"": ""Informado"", ""sequencialResultado"": 1, ""naturezaJuridicaNome"": ""Sociedade Empresária Limitada"", ""localidadeFornecedor"": null, ""aplicacaoMargemPreferencia"": false, ""aplicacaoBeneficioMeEpp"": false, ""aplicacaoCriterioDesempate"": false, ""naturezaJuridicaId"": ""2062""}";2026-09-12T20:10:05.743345
34869354000199-1-000208/2024;2;1;04437177000100;A. SALOMAO DE ALMEIDA;PJ;ME;100.0;5.33;533.0;1;Informado;2025-02-05;;0;sentinela/ausente sem motivo nem situacao de cancelamento -> nao cancelado;;1;Não se aplica;1.0;"{""indicadorSubcontratacao"": false, ""numeroItem"": 2, ""dataInclusao"": ""2025-02-05T16:41:41"", ""niFornecedor"": ""04437177000100"", ""dataCancelamento"": null, ""dataAtualizacao"": ""2025-02-05T16:41:41"", ""tipoPessoa"": ""PJ"", ""nomeRazaoSocialFornecedor"": ""A. SALOMAO DE ALMEIDA"", ""valorTotalHomologado"": 533.0, ""reservaRemanescente"": {""codigo"": 1, ""nome"": ""Não se aplica""}, ""timezoneCotacaoMoedaEstrangeira"": null, ""moedaEstrangeira"": null, ""valorNominalMoedaEstrangeira"": null, ""dataCotacaoMoedaEstrangeira"": null, ""codigoPais"": ""BRA"", ""porteFornecedorId"": 1, ""quantidadeHomologada"": 100.0, ""valorUnitarioHomologado"": 5.33, ""percentualDesconto"": 0.0, ""amparoLegalMargemPreferencia"": null, ""amparoLegalCriterioDesempate"": null, ""paisOrigemProdutoServico"": null, ""localidadeExterior"": null, ""ordemClassificacaoSrp"": 1, ""dataResultado"": ""2025-02-05"", ""motivoCancelamento"": null, ""numeroControlePNCPCompra"": ""34869354000199-1-000208/2024"", ""situacaoCompraItemResultadoId"": 1, ""porteFornecedorNome"": ""ME"", ""situacaoCompraItemResultadoNome"": ""Informado"", ""sequencialResultado"": 1, ""naturezaJuridicaNome"": ""Empresário (Individual)"", ""localidadeFornecedor"": null, ""aplicacaoMargemPreferencia"": false, ""aplicacaoBeneficioMeEpp"": false, ""aplicacaoCriterioDesempate"": false, ""naturezaJuridicaId"": ""2135""}";2026-09-12T20:10:08.651189
34869354000199-1-000208/2024;4;1;04437177000100;A. SALOMAO DE ALMEIDA;PJ;ME;70.0;6.48;453.6;1;Informado;2025-02-05;;0;sentinela/ausente sem motivo nem situacao de cancelamento -> nao cancelado;;1;Não se aplica;1.0;"{""indicadorSubcontratacao"": false, ""numeroItem"": 4, ""dataInclusao"": ""2025-02-05T16:41:41"", ""niFornecedor"": ""04437177000100"", ""dataCancelamento"": null, ""dataAtualizacao"": ""2025-02-05T16:41:41"", ""tipoPessoa"": ""PJ"", ""nomeRazaoSocialFornecedor"": ""A. SALOMAO DE ALMEIDA"", ""valorTotalHomologado"": 453.6, ""reservaRemanescente"": {""codigo"": 1, ""nome"": ""Não se aplica""}, ""timezoneCotacaoMoedaEstrangeira"": null, ""moedaEstrangeira"": null, ""valorNominalMoedaEstrangeira"": null, ""dataCotacaoMoedaEstrangeira"": null, ""codigoPais"": ""BRA"", ""porteFornecedorId"": 1, ""quantidadeHomologada"": 70.0, ""valorUnitarioHomologado"": 6.48, ""percentualDesconto"": 0.0, ""amparoLegalMargemPreferencia"": null, ""amparoLegalCriterioDesempate"": null, ""paisOrigemProdutoServico"": null, ""localidadeExterior"": null, ""ordemClassificacaoSrp"": 1, ""dataResultado"": ""2025-02-05"", ""motivoCancelamento"": null, ""numeroControlePNCPCompra"": ""34869354000199-1-000208/2024"", ""situacaoCompraItemResultadoId"": 1, ""porteFornecedorNome"": ""ME"", ""situacaoCompraItemResultadoNome"": ""Informado"", ""sequencialResultado"": 1, ""naturezaJuridicaNome"": ""Empresário (Individual)"", ""localidadeFornecedor"": null, ""aplicacaoMargemPreferencia"": false, ""aplicacaoBeneficioMeEpp"": false, ""aplicacaoCriterioDesempate"": false, ""naturezaJuridicaId"": ""2135""}";2026-09-12T20:10:10.850898
34869354000199-1-000208/2024;6;1;04437177000100;A. SALOMAO DE ALMEIDA;PJ;ME;250.0;16.2;4050.0;1;Informado;2025-02-05;;0;sentinela/ausente sem motivo nem situacao de cancelamento -> nao cancelado;;1;Não se aplica;1.0;"{""indicadorSubcontratacao"": false, ""numeroItem"": 6, ""dataInclusao"": ""2025-02-05T16:41:41"", ""niFornecedor"": ""04437177000100"", ""dataCancelamento"": null, ""dataAtualizacao"": ""2025-02-05T16:41:41"", ""tipoPessoa"": ""PJ"", ""nomeRazaoSocialFornecedor"": ""A. SALOMAO DE ALMEIDA"", ""valorTotalHomologado"": 4050.0, ""reservaRemanescente"": {""codigo"": 1, ""nome"": ""Não se aplica""}, ""timezoneCotacaoMoedaEstrangeira"": null, ""moedaEstrangeira"": null, ""valorNominalMoedaEstrangeira"": null, ""dataCotacaoMoedaEstrangeira"": null, ""codigoPais"": ""BRA"", ""porteFornecedorId"": 1, ""quantidadeHomologada"": 250.0, ""valorUnitarioHomologado"": 16.2, ""percentualDesconto"": 0.0, ""amparoLegalMargemPreferencia"": null, ""amparoLegalCriterioDesempate"": null, ""paisOrigemProdutoServico"": null, ""localidadeExterior"": null, ""ordemClassificacaoSrp"": 1, ""dataResultado"": ""2025-02-05"", ""motivoCancelamento"": null, ""numeroControlePNCPCompra"": ""34869354000199-1-000208/2024"", ""situacaoCompraItemResultadoId"": 1, ""porteFornecedorNome"": ""ME"", ""situacaoCompraItemResultadoNome"": ""Informado"", ""sequencialResultado"": 1, ""naturezaJuridicaNome"": ""Empresário (Individual)"", ""localidadeFornecedor"": null, ""aplicacaoMargemPreferencia"": false, ""aplicacaoBeneficioMeEpp"": false, ""aplicacaoCriterioDesempate"": false, ""naturezaJuridicaId"": ""2135""}";2026-09-12T20:10:13.563198
34869354000199-1-000208/2024;7;1;04437177000100;A. SALOMAO DE ALMEIDA;PJ;ME;150.0;16.2;2430.0;1;Informado;2025-02-05;;0;sentinela/ausente sem motivo nem situacao de cancelamento -> nao cancelado;;1;Não se aplica;1.0;"{""indicadorSubcontratacao"": false, ""niFornecedor"": ""04437177000100"", ""dataCancelamento"": null, ""dataAtualizacao"": ""2025-02-05T16:41:41"", ""tipoPessoa"": ""PJ"", ""nomeRazaoSocialFornecedor"": ""A. SALOMAO DE ALMEIDA"", ""dataInclusao"": ""2025-02-05T16:41:41"", ""numeroItem"": 7, ""valorTotalHomologado"": 2430.0, ""reservaRemanescente"": {""codigo"": 1, ""nome"": ""Não se aplica""}, ""timezoneCotacaoMoedaEstrangeira"": null, ""moedaEstrangeira"": null, ""valorNominalMoedaEstrangeira"": null, ""dataCotacaoMoedaEstrangeira"": null, ""codigoPais"": ""BRA"", ""porteFornecedorId"": 1, ""quantidadeHomologada"": 150.0, ""valorUnitarioHomologado"": 16.2, ""percentualDesconto"": 0.0, ""amparoLegalMargemPreferencia"": null, ""amparoLegalCriterioDesempate"": null, ""paisOrigemProdutoServico"": null, ""localidadeExterior"": null, ""ordemClassificacaoSrp"": 1, ""dataResultado"": ""2025-02-05"", ""motivoCancelamento"": null, ""numeroControlePNCPCompra"": ""34869354000199-1-000208/2024"", ""aplicacaoMargemPreferencia"": false, ""aplicacaoBeneficioMeEpp"": false, ""situacaoCompraItemResultadoId"": 1, ""porteFornecedorNome"": ""ME"", ""situacaoCompraItemResultadoNome"": ""Informado"", ""sequencialResultado"": 1, ""naturezaJuridicaNome"": ""Empresário (Individual)"", ""localidadeFornecedor"": null, ""aplicacaoCriterioDesempate"": false, ""naturezaJuridicaId"": ""2135""}";2026-09-12T20:10:14.454356
34869354000199-1-000208/2024;8;1;04437177000100;A. SALOMAO DE ALMEIDA;PJ;ME;100.0;16.2;1620.0;1;Informado;2025-02-05;;0;sentinela/ausente sem motivo nem situacao de cancelamento -> nao cancelado;;1;Não se aplica;1.0;"{""indicadorSubcontratacao"": false, ""numeroItem"": 8, ""dataInclusao"": ""2025-02-05T16:41:41"", ""niFornecedor"": ""04437177000100"", ""dataCancelamento"": null, ""dataAtualizacao"": ""2025-02-05T16:41:41"", ""tipoPessoa"": ""PJ"", ""nomeRazaoSocialFornecedor"": ""A. SALOMAO DE ALMEIDA"", ""valorTotalHomologado"": 1620.0, ""reservaRemanescente"": {""codigo"": 1, ""nome"": ""Não se aplica""}, ""timezoneCotacaoMoedaEstrangeira"": null, ""moedaEstrangeira"": null, ""valorNominalMoedaEstrangeira"": null, ""dataCotacaoMoedaEstrangeira"": null, ""codigoPais"": ""BRA"", ""porteFornecedorId"": 1, ""quantidadeHomologada"": 100.0, ""valorUnitarioHomologado"": 16.2, ""percentualDesconto"": 0.0, ""amparoLegalMargemPreferencia"": null, ""amparoLegalCriterioDesempate"": null, ""paisOrigemProdutoServico"": null, ""localidadeExterior"": null, ""ordemClassificacaoSrp"": 1, ""dataResultado"": ""2025-02-05"", ""motivoCancelamento"": null, ""numeroControlePNCPCompra"": ""34869354000199-1-000208/2024"", ""situacaoCompraItemResultadoId"": 1, ""porteFornecedorNome"": ""ME"", ""situacaoCompraItemResultadoNome"": ""Informado"", ""sequencialResultado"": 1, ""naturezaJuridicaNome"": ""Empresário (Individual)"", ""localidadeFornecedor"": null, ""aplicacaoMargemPreferencia"": false, ""aplicacaoBeneficioMeEpp"": false, ""aplicacaoCriterioDesempate"": false, ""naturezaJuridicaId"": ""2135""}";2026-09-12T20:10:16.852104
23066905000160-1-000003/2025;4;1;28491434000150;DARKLE R ARAUJO;PJ;ME;2025.0;8.0;16200.0;1;Informado;2025-02-05;0001-01-01T00:00:00;0;sentinela/ausente sem motivo nem situacao de cancelamento -> nao cancelado;;1;Não se aplica;1.0;"{""indicadorSubcontratacao"": false, ""numeroItem"": 4, ""dataInclusao"": ""2025-02-05T11:14:56"", ""niFornecedor"": ""28491434000150"", ""dataCancelamento"": ""0001-01-01T00:00:00"", ""dataAtualizacao"": ""2025-02-05T11:28:18"", ""tipoPessoa"": ""PJ"", ""nomeRazaoSocialFornecedor"": ""DARKLE R ARAUJO"", ""valorTotalHomologado"": 16200.0, ""reservaRemanescente"": {""codigo"": 1, ""nome"": ""Não se aplica""}, ""timezoneCotacaoMoedaEstrangeira"": null, ""moedaEstrangeira"": null, ""valorNominalMoedaEstrangeira"": null, ""dataCotacaoMoedaEstrangeira"": null, ""codigoPais"": ""BRA"", ""porteFornecedorId"": 1, ""quantidadeHomologada"": 2025.0, ""valorUnitarioHomologado"": 8.0, ""percentualDesconto"": 0.0, ""amparoLegalMargemPreferencia"": null, ""amparoLegalCriterioDesempate"": null, ""paisOrigemProdutoServico"": null, ""localidadeExterior"": null, ""ordemClassificacaoSrp"": 1, ""dataResultado"": ""2025-02-05"", ""motivoCancelamento"": null, ""numeroControlePNCPCompra"": ""23066905000160-1-000003/2025"", ""situacaoCompraItemResultadoId"": 1, ""porteFornecedorNome"": ""ME"", ""situacaoCompraItemResultadoNome"": ""Informado"", ""sequencialResultado"": 1, ""naturezaJuridicaNome"": ""Natureza Jurídica não informada"", ""localidadeFornecedor"": null, ""aplicacaoMargemPreferencia"": false, ""aplicacaoBeneficioMeEpp"": false, ""aplicacaoCriterioDesempate"": false, ""naturezaJuridicaId"": ""0000""}";2026-09-12T20:10:19.671177
23066905000160-1-000005/2025;2;1;28491434000150;DARKLE R ARAUJO;PJ;EPP;7100.0;1.5;10650.0;1;Informado;2025-02-17;;0;sentinela/ausente sem motivo nem situacao de cancelamento -> nao cancelado;;1;Não se aplica;1.0;"{""indicadorSubcontratacao"": false, ""niFornecedor"": ""28491434000150"", ""dataCancelamento"": null, ""dataAtualizacao"": ""2025-02-17T09:42:29"", ""tipoPessoa"": ""PJ"", ""nomeRazaoSocialFornecedor"": ""DARKLE R ARAUJO"", ""dataInclusao"": ""2025-02-17T09:42:29"", ""numeroItem"": 2, ""valorTotalHomologado"": 10650.0, ""reservaRemanescente"": {""codigo"": 1, ""nome"": ""Não se aplica""}, ""timezoneCotacaoMoedaEstrangeira"": null, ""moedaEstrangeira"": null, ""valorNominalMoedaEstrangeira"": null, ""dataCotacaoMoedaEstrangeira"": null, ""codigoPais"": ""BRA"", ""porteFornecedorId"": 2, ""quantidadeHomologada"": 7100.0, ""valorUnitarioHomologado"": 1.5, ""percentualDesconto"": 0.0, ""amparoLegalMargemPreferencia"": null, ""amparoLegalCriterioDesempate"": null, ""paisOrigemProdutoServico"": null, ""localidadeExterior"": null, ""ordemClassificacaoSrp"": 1, ""dataResultado"": ""2025-02-17"", ""motivoCancelamento"": null, ""numeroControlePNCPCompra"": ""23066905000160-1-000005/2025"", ""aplicacaoMargemPreferencia"": false, ""aplicacaoBeneficioMeEpp"": false, ""situacaoCompraItemResultadoId"": 1, ""porteFornecedorNome"": ""EPP"", ""situacaoCompraItemResultadoNome"": ""Informado"", ""sequencialResultado"": 1, ""naturezaJuridicaNome"": ""Natureza Jurídica não informada"", ""localidadeFornecedor"": null, ""aplicacaoCriterioDesempate"": false, ""naturezaJuridicaId"": ""0000""}";2026-09-12T20:10:20.551985
